Gene ID, 4-cell embryo, proliferating embryo, late cleavage stage embryo, gastrulating embryo, enclosing embryo, 3-fold embryo, elongating embryo, fully-elongated embryo, L1 larva, L2 larva, L2d-dauer molt, dauer larva, post dauer stage, L3 larva, L4 larva, newly molted young adult, adult
aos-1,57,78,49,99,56,44,50,32,6,20,21,26,27,39,21,81,38
apc-2,19,27,16,18,5,14,16,11,7,8,11,15,13,12,3,26,24
apc-10,3,9,17,30,18,0.4,4,3,10,9,3,7,0.6,24,20,21,3
apc-11,45,114,78,244,196,36,69,31,12,17,26,19,25,13,12,39,45
ape-1,82,77,89,51,14,128,87,108,46,54,41,31,35,25,16,38,74
aph-1,16,39,63,45,54,28,52,23,25,10,10,11,14,11,6,20,25
aph-2,12,25,56,35,22,24,46,18,3,15,14,14,16,13,4,18,13
apl-1,3,158,515,40,28,558,482,631,1087,243,316,214,229,195,70,62,117
apm-1,2,8,55,12,19,121,96,101,240,55,30,36,41,56,21,19,8
apn-1,8,5,33,20,9,15,9,22,6,13,12,23,17,6,20,14,16
app-1,90,64,10,15,7,18,13,20,8,60,30,26,46,85,34,79,104
1-Apr,31,39,91,31,9,48,81,36,18,19,14,13,12,16,6,29,45
aps-2,25,85,171,122,142,134,183,98,34,43,39,16,19,46,36,37,40
apg-1,14,31,75,23,13,87,78,70,43,49,28,28,30,40,14,33,36
aps-1,16,46,152,164,199,77,128,50,35,48,53,29,41,50,40,58,45
apb-1,12,47,120,36,15,126,104,110,112,58,27,24,27,42,12,31,36
apa-2,12,58,96,36,12,107,94,102,44,48,26,22,26,33,9,11,25
apd-3,14,19,20,11,2,31,24,24,12,14,9,8,9,10,4,13,20
apb-3,25,30,65,31,7,55,60,54,27,28,21,26,27,20,7,29,37
