"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00013324",127.125723457107,6.99011217408374,0.062858136301775,111.204572476107,0,0
"WBGene00013325",134.112495044178,7.06729984684182,0.0746782361615901,94.6366734151229,0,0
"WBGene00013326",90.1814421243321,6.49475867570984,0.0980790449852916,66.2196361790006,0,0
"WBGene00013327",64.4989608157065,6.01120401142164,0.117642058136919,51.0974060350544,0,0
"WBGene00013328",17.4377815743893,4.12414460775436,0.244687027614598,16.8547742312282,9.67769557244057e-64,2.24125524721451e-63
"WBGene00013329",10.5600554131123,3.40054550003946,0.157169076373953,21.6362250036293,8.19437739206124e-104,2.09491652676317e-103
"WBGene00013330",3.59594890003553,1.84637251968742,0.214541713538744,8.60612367279326,7.55727279635943e-18,1.46461381151272e-17
"WBGene00013331",64.534460394068,6.01199783780348,0.173485445321507,34.6541914606262,3.86261939287655e-263,1.28250267922204e-262
"WBGene00013332",106.602316023418,6.73609497195439,0.0461206605745026,146.05374008191,0,0
"WBGene00013333",2.77266697299656,1.47127434365501,0.172358114774884,8.53614780816457,1.38770819788813e-17,2.6849458411887e-17
"WBGene00013334",35.9060513718493,5.16615510184498,0.153248224963847,33.7110273418419,3.98489737231301e-249,1.29842961348552e-248
"WBGene00013335",13.0734012925816,3.70856262925381,0.140401785841437,26.4139277647229,9.48018054150367e-154,2.675692314016e-153
"WBGene00013336",13.1274023199353,3.71450955560252,0.146820537771666,25.2996591074968,3.22194138773179e-141,8.88712939761406e-141
"WBGene00013337",2.73511097013678,1.4515993678691,0.261795701064152,5.54477923804179,2.94325277238624e-08,5.1340371736985e-08
"WBGene00013338",1.36092622348994,0.444588859722036,0.267085318093196,1.6645949050891,0.0959936025234038,0.103119668686991
"WBGene00013339",93.7050270485787,6.55005454195552,0.0595849143420347,109.9280684429,0,0
"WBGene00013340",626.048247934378,9.29013003602746,0.0865188548256858,107.376941763096,0,0
"WBGene00013341",0.366946075080244,-1.44636002890447,0.373462402835426,-3.87283972341881,0.000107574574734826,0.000140459509668749
"WBGene00013343",548.169220942574,9.09847751458174,0.0410963769439833,221.393665115138,0,0
"WBGene00013344",228.959946453157,7.83895142954902,0.0843189881241029,92.9678071801745,0,0
"WBGene00013345",166.821948997886,7.38216530845634,0.0786292512032394,93.8857383923836,0,0
"WBGene00013347",510.687218024487,8.99629614010476,0.0742465656393393,121.16784207643,0,0
"WBGene00013348",25.7440529444361,4.68616729306714,0.130611159239321,35.8787665645061,6.54917305998444e-282,2.23003574129837e-281
"WBGene00013349",74.6503658074912,6.22207742487022,0.13161003579497,47.2766182858833,0,0
"WBGene00013350",165.381467173055,7.36965376336751,0.0826409056145971,89.1768272450513,0,0
"WBGene00013351",40.9072711396019,5.35428539538212,0.570606004878368,9.38350692002174,6.38141299396929e-21,1.2583745900902e-20
"WBGene00013352",417.516133229974,8.70568813557981,0.165176962564583,52.7052199072611,0,0
"WBGene00013353",70.4976298230659,6.13950284885283,0.109414567179568,56.1122984545273,0,0
"WBGene00013354",397.716999246982,8.63559841700508,0.0633621873098394,136.289461959027,0,0
"WBGene00013355",467.946174296382,8.87019878252869,0.06667865569947,133.029058391757,0,0
"WBGene00013356",1.89490672316999,0.92212683344537,0.233336777890603,3.9519138036512,7.75286681153088e-05,0.000102660448641097
"WBGene00013357",2.4308214517952,1.28144392871438,0.287934364920168,4.45047234660466,8.56816266091653e-06,1.26394905167245e-05
"WBGene00013358",116.666540945272,6.86624705644491,0.125385566451174,54.7610642180148,0,0
"WBGene00013359",38.1089932503061,5.25205959094152,0.128659265619962,40.8214640868171,0,0
"WBGene00013360",623.500625672744,9.28424719755142,0.0868349162950361,106.918364106054,0,0
"WBGene00013361",122.063230465985,6.93148486746796,0.0605917638467098,114.396486047243,0,0
"WBGene00013362",91.4409003377808,6.5147677034535,0.0752042494889033,86.6276539920098,0,0
"WBGene00013363",4.78754451915401,2.25928590265411,0.176337608837083,12.8122748037343,1.39970130600253e-37,2.97252308420854e-37
"WBGene00013364",6.58069527107746,2.71824001726526,0.192391262850862,14.1287082219133,2.52737896364149e-45,5.52684430711991e-45
"WBGene00013365",179.54344581427,7.48818917853983,0.0935629060275475,80.0337387589811,0,0
"WBGene00013366",124.409699281232,6.95895515562469,0.142655942627828,48.78138987718,0,0
"WBGene00013367",5.75314078956902,2.52434977596311,0.238861586720174,10.5682533999088,4.18210675738434e-26,8.44563277487844e-26
"WBGene00013368",2.36087244956912,1.23932009944673,0.290584435111913,4.26492251372455,1.99971589017363e-05,2.83093092636469e-05
"WBGene00013369",9.3280404346643,3.22157404226517,0.238793234003788,13.4910608154587,1.7654196924357e-41,3.79882044453977e-41
"WBGene00013370",12.6474490804738,3.66077452565178,0.213958208969986,17.109764300585,1.25506317169553e-65,2.92317265201735e-65
"WBGene00013371",0.185790443448678,-2.42825179953806,0.679929132425781,-3.571330722181,0.000355172070755418,0.00043962600999823
"WBGene00013372",1.8508349843185,0.888176273967114,0.347418771300585,2.55650053289339,0.0105730909132829,0.0119211782467743
"WBGene00013373",324.204716950724,8.34076127098155,0.088162577403638,94.6065951860133,0,0
"WBGene00013374",1.72407799666739,0.785825042907234,0.287942404006255,2.72910495978968,0.00635064872607477,0.00723930530018466
"WBGene00013375",12.9910883674445,3.69945039684634,0.154298566700055,23.9759219801295,4.9595543333846e-127,1.33158124768564e-126
"WBGene00013376",81.3493011771386,6.34605804751403,0.0606969462271738,104.553168519587,0,0
"WBGene00013378",524.375163029769,9.03445554386536,0.0657637088329089,137.377524841549,0,0
"WBGene00013379",524.441640567149,9.03463842959584,0.078759302063531,114.712017411075,0,0
"WBGene00013380",80.7680759223325,6.33571326646053,0.143032629397423,44.2955799187363,0,0
"WBGene00013381",61.7687077580065,5.94880424376524,0.163605003484692,36.3607720855667,1.7756769767909e-289,6.1080371846134e-289
"WBGene00013382",80.7168436097268,6.33479785459392,0.0879024319265113,72.0662411239085,0,0
"WBGene00013383",145.232700872601,7.18222251965839,0.142603953316492,50.3648205580833,0,0
"WBGene00013385",52.5406851755606,5.71536310946127,0.132335764219926,43.1883485401802,0,0
"WBGene00013387",48.6101398998559,5.6031853810924,0.139463749430732,40.1766437799335,0,0
"WBGene00013388",7.03097005605642,2.81372375025287,0.166945650804507,16.8541302914667,9.7836732920267e-64,2.2656380213818e-63
"WBGene00013389",3.46419934985842,1.7925219533836,0.249196453776538,7.193208114394,6.3286363739619e-13,1.18578011078161e-12
"WBGene00013390",0.655537395441181,-0.609250012870986,0.337530944402416,-1.80501972626432,0.0710715952505233,0.0768046161797476
"WBGene00013391",36.2523822632357,5.18000389736471,0.354992934990634,14.5918506730321,3.16494042881007e-48,6.98510155429713e-48
"WBGene00013392",58.1160077031429,5.86086369488661,0.331937263583156,17.6565403703714,9.06270480565665e-70,2.13514946661498e-69
"WBGene00013393",153.506997671896,7.26216061264337,0.401732757166494,18.0770934983368,4.82872806674358e-73,1.14689750367701e-72
"WBGene00013394",176.597347494006,7.46431986353131,0.405924387405527,18.3884489208437,1.62564592335112e-75,3.89000223694602e-75
"WBGene00013395",1.54050903080193,0.623407139796914,0.295354239393107,2.11070997686672,0.0347972479224767,0.038208215466998
"WBGene00013396",0.98310605054626,-0.0245810421621261,0.377719130837295,-0.0650775673120844,0.94811224125539,0.950730933957952
"WBGene00013397",3.59789433057776,1.84715281555268,0.221571074826862,8.33661531405246,7.64472610824933e-17,1.47117866533392e-16
"WBGene00013398",2.27805359878811,1.18780169164484,0.232930660785008,5.09937887799653,3.40769843968312e-07,5.65124836403826e-07
"WBGene00013399",4.40238342427621,2.13828480179746,0.19658639402859,10.8770742368187,1.48245003123419e-27,3.01350346961411e-27
"WBGene00013400",3.78138540773636,1.91891489970686,0.190246316589927,10.0864759649621,6.34050224828135e-24,1.268760554612e-23
"WBGene00013401",17.6252431631539,4.13957125639064,0.154480928805996,26.7966491940847,3.53525223535196e-158,1.00534696945279e-157
"WBGene00013402",7.25532915241507,2.85904106650224,0.219943876967482,12.9989573063902,1.24022709584937e-38,2.64295443532759e-38
"WBGene00013403",39.29277220475,5.29619205206946,0.180439496721464,29.3516228336911,2.2782429442844e-189,6.8076440973473e-189
"WBGene00013404",34.5582426773798,5.11095795170908,0.187290472985769,27.2889371799356,5.73907435660182e-164,1.64697219920924e-163
"WBGene00013405",71.4811349608978,6.15949063622619,0.0927482995876997,66.410820075488,0,0
"WBGene00013406",188.761315755675,7.56041932266415,0.115043109372668,65.7181413462416,0,0
"WBGene00013407",308.011302308216,8.26683948058076,0.0744419126693659,111.050874220521,0,0
"WBGene00013408",22.0814347659862,4.46476201077716,0.182285757668529,24.4932026938492,1.74524714533359e-132,4.72930423567548e-132
"WBGene00013409",28.4124669798303,4.82845219727187,0.130449779404324,37.0138778257821,6.84925022809183e-300,2.38439432349138e-299
"WBGene00013410",14.14319028763,3.82203568130036,0.178893629759578,21.3648506458108,2.83759109413035e-101,7.21374690739198e-101
"WBGene00013411",0.476566169936682,-1.06925155250071,0.344151744331694,-3.10691888131233,0.00189048266262169,0.00221538288567098
"WBGene00013412",1.69930789999642,0.764947280157419,0.397128167961769,1.92619748954967,0.0540797191801643,0.0588155646455821
"WBGene00013415",240.678410169921,7.91096292179164,0.150904118078703,52.4237709514707,0,0
"WBGene00013416",374.944559598386,8.55053348003528,0.143243768484301,59.6921846619275,0,0
"WBGene00013417",9.37261256755856,3.22845124776685,0.243447668786604,13.2613767215687,3.87712046953429e-40,8.30448451930731e-40
"WBGene00013418",102.698558168462,6.68227211692439,0.147180070972579,45.4020172212674,0,0
"WBGene00013419",62.4864198948243,5.96547077939511,0.133006026769976,44.851131367994,0,0
"WBGene00013421",6.64762014038221,2.7328379456997,0.183770928333979,14.8708937288118,5.09288950815614e-50,1.13027348148476e-49
"WBGene00013422",80.6680922689333,6.33392623272468,0.0623766237029527,101.543268242408,0,0
"WBGene00013424",6.04513564062812,2.59577471099898,0.161841076385533,16.0390351384923,6.82057868557556e-58,1.55293992440375e-57
"WBGene00013425",54.2473479873285,5.76148070453571,0.0534383665626977,107.815434399102,0,0
"WBGene00013426",27.052007467705,4.75766375201676,0.157452592470749,30.2164840690103,1.43877582410567e-200,4.37158267181076e-200
"WBGene00013427",1.75948730053085,0.815155101170677,0.250634291196439,3.2523686095762,0.00114447495032027,0.00136147810105635
"WBGene00013429",4.90559762554876,2.29442890380334,0.174713530709331,13.1325198139379,2.14401611509299e-39,4.58239969653737e-39
"WBGene00013431",48.0553749285109,5.58662589839488,0.109411842325559,51.0605230626832,0,0
"WBGene00013432",25.7057646584537,4.68402002284999,0.131307427801785,35.6721634203418,1.06832071750947e-278,3.62222470111258e-278
"WBGene00013433",26.6836173905833,4.73788235502658,0.0884327134685725,53.5761277608014,0,0
"WBGene00013434",120.038476022192,6.90735309785236,0.0718879644427708,96.0849726570187,0,0
"WBGene00013435",248.890727767781,7.95936867460307,0.0927728509434852,85.7941584596954,0,0
"WBGene00013436",99.5175143287312,6.63687854628838,0.0693865315934143,95.6508185937097,0,0
"WBGene00013437",5.3037161682776,2.40700357077949,0.214399417628463,11.2267262542226,3.01441400820893e-29,6.17181388045786e-29
"WBGene00013438",200.284531979234,7.64590719555565,0.130086719026698,58.7754634198012,0,0
"WBGene00013439",60.9689860241543,5.93000364760491,0.127037355048474,46.6792121525372,0,0
"WBGene00013440",60.8511472304587,5.92721255730199,0.142146849130638,41.6978117598279,0,0
"WBGene00013441",169.170810399745,7.40233684969589,0.0603329755310105,122.691393629197,0,0
"WBGene00013442",29.4133089822693,4.87839719069929,0.109105345886807,44.712723753797,0,0
"WBGene00013443",102.054738987403,6.67319936631374,0.108080746950244,61.7427206474231,0,0
"WBGene00013445",44.7663742134205,5.4843435688995,0.115285084696036,47.5720131824482,0,0
"WBGene00013446",147.879352558796,7.20827682205968,0.0871909545126311,82.6723008407419,0,0
"WBGene00013447",44.9950298430254,5.49169374484461,0.0565285302010577,97.1490630538604,0,0
"WBGene00013448",53.6606221580346,5.74579187664025,0.0813632368722374,70.6190178454025,0,0
"WBGene00013449",9.90633008039699,3.30835069258732,0.27058334906908,12.2267342169037,2.23754925878248e-34,4.68606089159835e-34
"WBGene00013450",14.7532942428579,3.88296522273104,0.219096508725878,17.7226248163964,2.80512771664876e-70,6.61691800039693e-70
"WBGene00013451",0.610399016685871,-0.71217545680332,0.303205835903736,-2.34881843444935,0.0188330878288632,0.020960221560956
"WBGene00013452",6.32860212987563,2.66188687042683,0.20959778762407,12.69997599021,5.91478505913043e-37,1.25326244606113e-36
"WBGene00013453",63.9588477709061,5.99907204355281,0.151224495641443,39.6699755426976,0,0
"WBGene00013454",0.924241508499093,-0.113658211224668,0.307573071619933,-0.369532386648969,0.711730937665041,0.721804164878029
"WBGene00013455",80.8981840697795,6.33803541357565,0.159115282141686,39.8329772493624,0,0
"WBGene00013456",63.7359383586142,5.99403517963555,0.141045575469264,42.4971514327421,0,0
"WBGene00013457",44.9093446564179,5.48894376450353,0.165104157310776,33.245339511177,2.38377226902365e-242,7.68446713598538e-242
"WBGene00013458",182.564914957377,7.51226572683596,0.126341283784616,59.4601028405152,0,0
"WBGene00013459",38.3158165846877,5.25986814755873,0.206936634064636,25.4177718282391,1.60438257893151e-142,4.43362658716061e-142
"WBGene00013460",327.552392733991,8.3555818771639,0.0432690582423826,193.10755113638,0,0
"WBGene00013461",173.725035448774,7.44066186503866,0.0604030668105422,123.183511333567,0,0
"WBGene00013462",178.796055894171,7.482171101885,0.0484386862405441,154.466846287467,0,0
"WBGene00013463",1551.72524028732,10.599657410765,0.076806382939041,138.004902784938,0,0
"WBGene00013464",116.027492160317,6.85832287533469,0.0516265392733805,132.844908294501,0,0
"WBGene00013465",529.347464067184,9.04807120914387,0.0870538019061643,103.936542816324,0,0
"WBGene00013466",1.38487866583767,0.469759582150014,0.276351162225717,1.69986468798103,0.0891563803856769,0.0959104737308881
"WBGene00013467",0.769089255612696,-0.37877705696361,0.305532592737531,-1.23972717139543,0.215076323580147,0.226463614107415
"WBGene00013468",0.674123942969349,-0.568914228304799,0.338321339632844,-1.68157949753391,0.0926504090232602,0.0995872270415154
"WBGene00013469",1.53241159015287,0.615803842511623,0.283158228196839,2.17476937341035,0.0296474032484634,0.0326567186199953
"WBGene00013470",1.59731088723914,0.675645134181645,0.246467348104088,2.74131701168102,0.00611934354788332,0.00698318550019514
"WBGene00013471",4.00606756397973,2.00218675300197,0.296839294403805,6.74501924357192,1.53006743794049e-11,2.83321736000825e-11
"WBGene00013472",5.7325996949827,2.51918953976795,0.343531657104242,7.33320929140314,2.24705599907522e-13,4.22502904648307e-13
"WBGene00013473",38.3645233011205,5.26170092367346,0.350864211138881,14.99640247318,7.75080172113926e-51,1.72565716978894e-50
"WBGene00013474",57.6156518822061,5.8483888826903,0.302946124053851,19.3050460736401,4.87118595401302e-83,1.18718580627564e-82
"WBGene00013475",2.80835442609617,1.48972502129206,0.277648756752746,5.36550222199878,8.07242864074185e-08,1.38307695367962e-07
"WBGene00013476",1.78426736944776,0.835331816869337,0.237738884026949,3.51365246912932,0.000441990671967524,0.000542831994231868
"WBGene00013477",250.592385488699,7.96919876730524,0.143695105407995,55.4590829289432,0,0
"WBGene00013478",5.1135943612964,2.35433772253564,0.319889242159192,7.35985276230081,1.84113191033444e-13,3.46517972295247e-13
"WBGene00013479",5.73775872299357,2.52048730298646,0.119745690154265,21.0486682212895,2.35195999742572e-98,5.94172668284253e-98
"WBGene00013480",6.26309577507444,2.64687594076105,0.233326700724472,11.3440764925,7.93596322830223e-30,1.62871426722427e-29
"WBGene00013481",509.381493833396,8.99260273627381,0.177527592936505,50.6546761972384,0,0
"WBGene00013482",150.722176865953,7.23574789669472,0.088862758255238,81.4261006383763,0,0
"WBGene00013483",0.550368152148676,-0.861531106072879,0.354913927839763,-2.42743673463794,0.0152059386646499,0.0170091419625291
"WBGene00013484",66.6371783871421,6.05825540896028,0.143192690652081,42.3084124013017,0,0
"WBGene00013485",72.2944319147658,6.17581263060736,0.220888274880984,27.9589880175167,5.12599805467446e-172,1.49146915793845e-171
"WBGene00013486",11.1808187931564,3.48295393830745,0.251446039333212,13.8516953678952,1.24244607509271e-43,2.69962265618129e-43
"WBGene00013487",3.29073790297553,1.71841112487147,0.29440839697606,5.83682783005403,5.32040228799995e-09,9.49812297221212e-09
"WBGene00013489",676.501121000057,9.4019485146046,0.226643365293356,41.4834491291425,0,0
"WBGene00013490",3.61547557284942,1.85418542904773,0.235045460621578,7.88862471176569,3.05534804908356e-15,5.82595106814924e-15
"WBGene00013492",22.7344605756804,4.50680886831122,0.181543706676048,24.8249248119258,4.82529096974765e-136,1.31861154500715e-135
"WBGene00013493",2.21347896053479,1.14631566045797,0.234280702161535,4.8929154210388,9.93531109134132e-07,1.59793409091149e-06
"WBGene00013494",1.38991810198434,0.474999877666788,0.292939835097047,1.62149295096526,0.104911960532159,0.112408129275587
"WBGene00013495",5.68972387676868,2.50835864000416,0.293963853247053,8.53288121072519,1.42747240213254e-17,2.76171832196581e-17
"WBGene00013496",53.392546546332,5.73856645456876,0.200816176829815,28.5762160457423,1.32721520832427e-179,3.90129155559515e-179
"WBGene00013497",56.7128863864077,5.82560467861666,0.113591310953894,51.2856540671604,0,0
"WBGene00013498",10.5007936037762,3.39242645944228,0.236669024480165,14.3340535031723,1.34061810105849e-46,2.94327060754459e-46
"WBGene00013499",138.707152160027,7.11589836907124,0.167169185813399,42.5670456815785,0,0
"WBGene00013500",0.263872535527158,-1.92208689549532,0.486320033956257,-3.95230868829107,7.74008042632124e-05,0.000102499443920745
"WBGene00013501",2.75836372809233,1.46381270852552,0.288312312276836,5.07717723521975,3.83083498587893e-07,6.33271947604948e-07
"WBGene00013502",0.986620499673396,-0.0194328314046438,0.319789976597204,-0.0607674812432307,0.95154438864997,0.953996897890147
"WBGene00013503",0.532117064333051,-0.910184425187351,0.30428232540714,-2.99124973482931,0.00277838171986147,0.00322728840015903
"WBGene00013505",10.0740405491771,3.33257053802201,0.237844082203406,14.0115764375923,1.32432302586816e-44,2.88789741525908e-44
"WBGene00013506",83.7711295338235,6.38838122121293,0.0369906672624706,172.702513741739,0,0
"WBGene00013507",6.72107616945541,2.74869225384198,0.138758242529415,19.8092178434683,2.4790519881548e-87,6.10652270734702e-87
"WBGene00013508",209.834353042676,7.71310707792417,0.230781307581978,33.4217149505677,6.63223747083167e-245,2.14647741045389e-244
"WBGene00013509",85.0566709736296,6.41035248542802,0.117556764412919,54.5298479202064,0,0
