"","3-fold embryo Ce","4-cell embryo Ce","adult Ce","dauer larva Ce","elongating embryo Ce","enclosing embryo Ce","fully-elongated embryo Ce","gastrulating embryo Ce","L1 larva Ce","L2 larva Ce","L2d-dauer molt Ce","L3 larva Ce","L4 larva Ce","late cleavage stage embryo Ce","newly molted young adult hermaphrodite Ce","post dauer stage Ce","proliferating embryo Ce"
"WBGene00007063",1155,152,116,639,3996,704,2816,1944,2895,139,699,73,76,1846,205,761,4101
"WBGene00007064",8553,408,813,5351,9423,651,15790,3066,9391,715,4389,698,613,2603,612,2760,17598
"WBGene00007065",169,138,209,1393,223,100,333,247,385,85,710,231,252,152,759,517,1201
"WBGene00007066",1,6,1,2,1,4,1,5,4,5,2,1,1,9,0,0,5
"WBGene00007067",60,2,11,602,7,8,441,15,2157,38,482,56,50,13,53,397,172
"WBGene00007068",2539,272,1307,1682,6352,1704,5143,5348,3256,1032,2596,2158,1109,3607,1376,1948,19539
"WBGene00007069",12,6,2,30,17,0,32,14,47,11,20,9,55,5,8,17,54
"WBGene00007070",505,17,393,3163,2022,1088,1685,4737,2672,765,2413,1589,1675,815,2518,1347,4597
"WBGene00007071",10,18,2084,29487,15,6,453,5,6591,5746,18566,15465,2633,24,8200,23263,101
"WBGene00007072",130,9,130,4831,224,73,399,773,1603,824,5103,813,669,103,740,3854,1110
"WBGene00007073",421,6,140,202,429,9,792,37,1408,501,285,780,210,84,863,443,103
"WBGene00007074",0,0,6,7,0,4,1,0,3,3,7,3,4,7,4,3,29
"WBGene00007077",3,11,5,3,5,6,39,21,61,2,1,7,32,4,10,1,375
"WBGene00007080",1,5,228,50,3,4,3,0,9,0,18,100,331,6,364,30,6
"WBGene00007081",2,8,187,12,0,2,2,1,2,2,6,117,464,3,351,3,5
"WBGene00007082",18,9,472,56,10,12,17,25,456,11,134,423,1285,10,1084,26,207
"WBGene00007083",64,55,2,4,120,12,82,113,30,5,1,1,7,50,2,0,967
"WBGene00007085",21,5,2,5,22,0,28,7,114,6,3,1,53,8,14,4,57
"WBGene00007087",757,995,2744,4459,1108,115,2029,595,715,349,1704,2168,2067,520,8356,2541,4113
"WBGene00007088",2984,434,1871,3548,5242,740,5857,1828,11509,1116,2449,1815,1408,2569,4701,3908,8498
"WBGene00007089",4083,1471,2545,4896,4518,567,6938,2102,5021,1593,3935,2585,6709,1543,5838,3919,35624
"WBGene00007090",1858,431,2735,3687,3742,331,6011,1205,6335,895,2055,1764,1037,1716,2893,2219,8750
"WBGene00007091",31770,788,2098,56265,44462,2043,50151,7419,122280,5911,15459,6296,2484,15943,4897,27976,34827
"WBGene00007092",1344,1726,2712,2019,945,72,1971,2064,1208,268,782,1007,1012,424,5615,933,21116
"WBGene00007093",1619,1128,1280,2346,2761,393,3182,2027,4079,567,1504,1009,704,1331,3248,1989,13073
"WBGene00007094",1156,755,1428,3784,2104,317,3089,1480,2411,514,1973,1170,739,1133,3349,2229,6176
"WBGene00007096",103,8,19,596,144,228,476,699,701,60,451,114,47,158,68,456,323
"WBGene00007097",31,3,14,121,23,10,134,54,1776,38,544,1598,286,10,2053,121,17
"WBGene00007099",1166,389,634,7515,2597,1571,2308,5095,5799,752,3840,1443,1836,1533,2893,4180,5735
"WBGene00007100",1000,1209,2007,3361,1964,257,2392,1233,3614,749,2215,1632,1384,1024,5145,2681,5923
"WBGene00007101",2216,805,1841,4171,4631,1068,4747,3240,4773,940,3520,2415,2091,2604,5711,3971,11719
"WBGene00007102",799,887,2030,1648,956,63,1202,581,3232,610,1077,1312,1050,332,3126,1374,5633
"WBGene00007103",2738,43,1547,13555,4598,154,6312,492,51130,2706,6394,4237,965,1408,1809,7661,4005
"WBGene00007104",128,5,7,343,46,4,265,5,284,61,221,80,120,11,40,296,99
"WBGene00007105",7132,2735,4678,4177,10386,3395,12348,8955,5302,2100,3480,3451,2724,5378,7234,4973,38869
"WBGene00007106",728,1346,2290,1749,1157,588,1420,1591,2234,463,1313,1576,1435,556,4718,1276,8457
"WBGene00007107",3199,1585,1594,3890,7672,15827,7074,22513,4940,1433,4930,2760,2996,8893,5828,4204,21489
"WBGene00007108",1838,551,1905,9045,2734,287,3829,1956,6508,1877,9962,5456,2073,1140,6864,7285,7046
"WBGene00007109",2014,3669,4761,4258,1471,178,2899,4100,701,393,1629,1729,1655,754,9074,1547,37507
"WBGene00007110",3688,2301,2718,4239,6045,2419,7995,7103,5331,1303,2677,2112,1626,4344,6180,3449,28742
"WBGene00007111",2241,1775,3861,5522,3203,261,5004,1233,5134,2107,3127,3959,2692,1441,11531,4279,8728
"WBGene00007112",149,4,1537,86,57,1,843,13,16341,1712,322,5750,2109,6,4668,1000,113
"WBGene00007113",1273,568,496,1805,2477,195,2015,962,2084,453,1188,1279,932,886,2939,1282,2697
"WBGene00007114",257,173,111,599,398,88,441,355,231,88,374,191,177,187,504,408,1007
"WBGene00007115",170,11,76,630,34,4,847,26,4235,266,766,83,138,10,136,516,314
"WBGene00007116",5932,11,236,1281,6792,54,6795,313,11470,1374,1412,981,527,1661,294,810,4199
"WBGene00007117",5,14,23,8,9,15,17,45,21,18,7,165,211,12,121,7,68
"WBGene00007118",2533,3440,5324,3726,3093,673,5765,4332,10359,1481,2176,2507,2138,1958,8727,3053,38770
"WBGene00007119",815,7,19,447,659,120,1401,234,1355,116,444,91,78,153,84,322,582
"WBGene00007122",2012,1036,2166,767,2040,1632,3614,4284,4294,2377,727,3306,2883,1169,7686,1525,16242
"WBGene00007123",1,1,0,2,0,4,3,6,8,3,2,0,2,3,1,5,8
"WBGene00007124",95,24,492,2126,132,21,495,67,274,85,852,216,2326,59,1280,2174,1623
"WBGene00007125",3,1,25,5,10,3,40,4,25,14,9,17,86,12,70,8,80
"WBGene00007126",262,2,52,413,151,8,919,42,3541,183,789,234,367,47,135,397,601
"WBGene00007127",0,2,0,8,3,3,5,1,5,4,8,1,1,5,0,1,22
"WBGene00007128",899,449,501,245,1735,652,1864,1934,753,351,389,454,490,1040,657,302,6136
"WBGene00007129",5154,1088,3268,3206,7366,1972,9056,5417,8448,4118,5790,5611,4010,3888,4392,4379,27638
"WBGene00007130",2259,13,412,2029,4879,245,5812,1362,2841,719,3794,1257,686,1538,733,2503,2405
"WBGene00007131",400,1,11,3073,127,40,1350,36,1077,57,4796,57,31,33,110,979,369
"WBGene00007132",211,4,2,2086,274,24,512,119,429,23,496,12,4,112,19,293,138
"WBGene00007133",1260,21,84,573,2430,2165,2306,2767,594,173,532,139,160,2008,114,351,3075
"WBGene00007134",1,5,0,67,3,5,33,5,33,3,341,0,0,9,5,56,5
"WBGene00007135",5591,1883,4210,4854,7787,403,11952,2841,35542,4198,3971,2397,3953,3295,4527,4277,36635
"WBGene00007136",328,316,1176,828,865,586,3443,2314,1503,206,1099,747,1058,728,1216,405,11688
"WBGene00007137",1774,1003,1149,2147,2350,660,2642,2529,2402,528,2000,1610,923,1126,3241,1814,11451
"WBGene00007138",84,9,25,438,35,23,211,43,728,99,480,118,264,31,89,657,326
"WBGene00007139",13479,49,204,1061,25342,1197,32719,5606,11139,1835,683,855,522,15469,297,830,38485
"WBGene00007140",534,5,11,78,550,14,222,12,172,14,58,17,66,195,31,132,541
"WBGene00007141",70,1,1,77,25,7,151,10,249,230,302,173,52,12,20,87,42
"WBGene00007142",418,7,896,13791,1146,98,3336,79,37710,5394,40203,10524,2605,386,5855,5334,532
"WBGene00007143",8666,941,7474,13758,10543,753,19106,4995,26155,5385,10207,9267,5278,3608,9798,14748,20606
"WBGene00007144",5658,2915,2088,4900,9569,4009,7574,13023,3293,1001,3436,1633,1397,4634,6171,3692,26337
"WBGene00007145",2755,258,1540,1679,4061,245,4190,1007,4861,739,1342,2223,1132,1735,1846,1620,4771
"WBGene00007146",1677,21,30,195,1676,4,2236,83,1877,666,692,316,199,262,77,147,937
"WBGene00007147",0,5,35,10,6,2,9,5,23,3,0,2,119,14,61,3,43
"WBGene00007148",0,0,1,0,0,0,2,1,8,0,0,6,140,1,3,3,18
"WBGene00007149",65,2,6,62,25,7,2091,1,181,99,239,249,383,6,216,19,249
"WBGene00007150",2985,917,15179,3462,3705,82,4989,250,9873,4859,2181,6963,3845,981,18698,1867,3662
"WBGene00007151",27,1,0,128,27,17,33,11,33,6,92,2,9,10,5,38,42
"WBGene00007152",30,0,17,11,26,3,51,0,148,124,23,157,94,10,99,34,23
"WBGene00007153",824,20,2720,234,208,15,2943,253,23815,4984,1918,11675,6320,40,11959,2433,1143
"WBGene00007154",497,29,22,702,184,20,1410,57,454,166,540,121,206,71,136,316,1107
"WBGene00007155",201,7,893,2449,426,13,1654,25,16808,939,8015,1928,2004,104,2265,736,377
"WBGene00007156",0,4,90,8,3,2,3,6,58,0,7,51,732,8,441,2,13
"WBGene00007158",3,4,1,37,6,0,3,2,4678,27,21,2,5,4,4,24,40
"WBGene00007159",1,5,268,47,1,3,11,1,511,5,11,148,1499,4,1450,14,28
"WBGene00007162",720,150,83,73,1530,247,1508,922,1126,68,44,24,29,846,202,103,1557
"WBGene00007163",34,5,1,5,62,4,44,20,234,13,9,6,16,28,4,19,78
"WBGene00007164",29,1,2,21,48,17,74,11,9,3,10,2,16,32,12,11,159
"WBGene00007166",25,1,0,26,7,7,430,11,2422,84,8,5,16,16,4,24,301
"WBGene00007167",4978,3578,5485,5671,6406,412,6963,2266,7169,1471,3872,2414,1996,2296,11937,5214,19067
"WBGene00007168",3171,5717,6167,1950,3470,1114,7541,7754,1276,595,1038,1196,2068,2543,10289,1052,68311
"WBGene00007169",26,9,72,11,19,6,21,18,26,26,8,1763,1315,10,194,13,86
"WBGene00007170",25675,34,98,208,24960,113,28877,259,810,2013,864,2974,1164,4658,391,197,12041
"WBGene00007171",1535,1419,5068,1163,722,31,1532,1374,697,196,550,729,1523,300,4507,418,21377
"WBGene00007172",27,6,4,9,17,10,81,3,314,21,16,19,70,9,12,29,122
"WBGene00007173",0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,1,1
"WBGene00007174",9795,5,16,2708,4924,11,7116,44,4344,2481,2344,1586,427,417,54,2196,2255
"WBGene00007175",5750,258,3826,4575,9313,305,14477,2648,10452,4553,5465,5165,2207,3638,3522,2743,12473
"WBGene00007176",285,10,245,3872,131,10,1832,24,15553,960,3140,688,332,36,262,3267,624
"WBGene00007177",263,8,2,9,31,7,584,2,63,564,5,152,1412,10,26,6,353
"WBGene00007178",80,6,298,1596,153,13,1802,43,2911,280,1241,974,317,65,807,1736,361
"WBGene00007179",1,2,4,11,0,1,11,1,18,7,6,108,58,5,32,10,10
"WBGene00007180",813,16,221,7594,435,6,1799,59,2009,387,8728,543,851,56,1064,3511,553
"WBGene00007182",13,30,69,2,20,226,350,3057,1,4,4,1,6,76,8,1,7448
"WBGene00007183",77,4,0,2119,117,6,120,123,45,35,1498,32,18,51,22,1588,138
"WBGene00007184",7177,3481,6516,12214,13382,2801,23028,10231,10500,3691,6498,5851,4507,7710,10095,7557,59126
"WBGene00007185",4683,295,2411,3825,4040,103,8554,1598,13533,4790,6371,9090,6924,394,7198,7200,9376
"WBGene00007186",3179,3010,5060,4851,5357,970,9096,6210,8245,1791,3283,2868,2602,3399,9582,3951,42186
"WBGene00007187",845,1031,826,1865,1634,408,2038,3529,745,199,743,500,700,887,2668,1204,8376
"WBGene00007188",1231,1067,1199,1229,1937,759,2559,2447,1472,376,683,789,913,1361,2819,827,14391
"WBGene00007190",36,3,1336,12,11,2,27,11,53,15,13,672,3567,3,2594,23,44
"WBGene00007191",2558,4,16,763,1470,8,2899,83,2943,142,589,93,46,206,47,720,1326
"WBGene00007192",11814,2722,9068,13079,11928,6764,19019,15860,52594,9414,11349,12887,8780,6344,16101,11053,62187
"WBGene00007193",3100,579,761,2193,3318,82,4530,642,6886,495,1171,924,714,833,2526,1206,4389
"WBGene00007194",558,271,547,1283,1143,385,1506,1315,2855,425,1723,906,1119,487,1844,1940,2806
"WBGene00007195",1657,1879,1780,2474,2755,1093,3559,4309,1362,658,1361,1323,1600,1698,4872,1617,16790
"WBGene00007196",23,31,2843,178,30,0,86,12,341,21,82,68,2731,15,2964,119,98
"WBGene00007197",207,15,1133,1736,150,7,2334,23,11423,1167,2785,3103,1530,42,2869,1415,570
"WBGene00007199",12,3,0,9,1,3,25,1,29,2,6,2,4,3,5,10,30
"WBGene00007200",12,2,70,1611,23,1,301,1,2116,196,1428,402,183,8,443,872,37
"WBGene00007201",910,382,1106,1352,1502,529,2022,1604,1827,587,987,1445,1024,1038,2083,1408,7276
"WBGene00007202",265,262,348,921,524,140,551,546,497,154,402,334,1321,305,1071,633,2337
"WBGene00007203",169,9,197,583,246,18,416,23,2706,298,572,380,113,104,194,662,229
"WBGene00007204",4,1,0,9,6,3,6,5,128,3,1,4,18,8,10,1,43
"WBGene00007207",2745,795,1039,3964,3607,315,4559,1219,2423,1801,2188,2352,1368,1613,4532,3036,6024
"WBGene00007209",3,6,470,9,0,3,18,1,183,15,9,329,1134,3,603,3,25
"WBGene00007210",6757,7,20,154,1911,16,17562,70,651,1875,1387,1054,2201,135,291,62,3269
"WBGene00007211",30,34,50,35,59,146,588,1446,154,10,15,4,100,99,45,7,9825
"WBGene00007212",7,6,24,141,10,40,223,152,295,13,242,36,213,16,37,61,961
"WBGene00007213",997,11,20,919,2094,254,1213,763,4742,152,355,62,111,1098,38,399,3364
"WBGene00007214",3820,36,106,2280,4051,51,3436,71,1356,567,1233,1069,364,661,243,688,988
"WBGene00007215",2942,500,1251,2446,4680,362,4181,1386,2171,1516,2066,3285,1926,1624,4490,2819,4669
"WBGene00007216",1307,814,505,2745,3014,1157,2331,3200,2133,350,2224,679,793,1459,1949,1801,5202
"WBGene00007217",3152,1372,997,3931,6376,5372,6753,17141,4959,530,3041,1338,1130,3918,3807,3144,18863
"WBGene00007218",7,0,5,9,1,15,10,2,20,4,7,2,34,5,7,11,36
"WBGene00007219",333,8,47,5427,117,172,1253,281,7733,417,3378,317,143,50,209,3974,575
"WBGene00007220",421,14,170,147,85,22,1720,100,1713,1192,565,1854,1388,35,661,378,1179
"WBGene00007221",2115,2717,3247,2121,2116,227,4534,1850,6379,994,1705,1301,1054,984,6440,2004,18361
"WBGene00007222",9,8,95,93,8,3,35,13,93,26,45,216,681,9,590,63,105
"WBGene00007223",4561,2218,1462,3031,7536,3611,5065,9453,2027,2319,2905,2654,5157,3648,7369,4157,17310
"WBGene00007224",58,4,59,15,116,264,181,812,44,4,7,78,418,179,150,16,635
"WBGene00007225",5815,4913,7305,43,21357,14538,40194,59071,156,53,297,36,867,26337,4197,25,230030
"WBGene00007226",4076,693,2165,9041,4971,469,8772,2478,44768,853,6867,1258,963,1784,2321,5149,13577
"WBGene00007227",13733,4853,11361,39883,16502,181,34164,4278,51840,11019,18884,7406,4735,5448,15643,18457,55540
"WBGene00007228",4730,11,740,1157,5221,198,9751,1173,2755,2496,3071,3185,938,1468,1425,3110,2517
"WBGene00007229",9029,4,8,10,4064,43,6799,98,48,51,15,37,33,230,92,5,1346
"WBGene00007230",17,12,75,10,10,29,27,23,25,7,5,253,626,31,446,10,63
"WBGene00007231",7,2,5,4,32,2,15,3,56,72,7,258,7,8,23,2,0
"WBGene00007232",9,0,3,4,42,14,23,7,170,115,15,339,3,28,33,7,5
"WBGene00007233",4,3,7,15,23,2,29,2,1929,2574,25,597,18,11,28,18,11
"WBGene00007234",352,499,1149,1048,690,357,925,627,975,363,1035,956,732,432,2428,839,2301
"WBGene00007235",7529,3409,6933,15448,10413,16983,18411,31509,16052,4851,9208,9534,6724,10145,17649,11966,84271
"WBGene00007236",814,37,195,402,1696,1262,1801,2305,1163,641,382,1553,849,1368,1045,466,3506
"WBGene00007237",425,189,335,937,754,246,1124,642,1670,249,576,495,343,422,1221,525,2579
"WBGene00007238",0,7,1,4,1,1,104,1,0,1,3,2,279,1,1,0,1395
"WBGene00007239",0,3,55,3,2,1,1,1,1,1,2,35,689,3,145,4,23
"WBGene00007240",3,0,16,16,20,2,55,2,2576,466,102,1003,68,8,51,28,10
"WBGene00007241",20,1,7,988,155,12,59,10,865,109,808,51,37,35,15,433,27
"WBGene00007242",9926,113,212,1280,6219,51,6985,175,4797,2835,5269,1121,571,844,583,487,4056
"WBGene00007243",7,0,1,2,4,2,77,6,10,15,7,34,137,5,48,2,14
"WBGene00007244",56,99,380,494,160,198,410,2170,43,5,244,59,472,133,599,220,4425
"WBGene00007245",38,7,7,17,18,3,61,4,11,2,4,0,7,10,8,9,114
"WBGene00007246",2,5,9,9,11,0,102,3,53,23,8,97,370,4,99,2,29
"WBGene00007247",149,3,33,1304,60,13,630,10,4825,215,645,42,235,12,41,647,599
"WBGene00007248",12,12,692,126,30,23,81,47,74,11,31,516,2417,25,2603,97,199
"WBGene00007249",0,5,53,1,0,6,4,16,0,2,0,14,845,9,189,1,38
"WBGene00007250",2,0,23,0,49,0,45,5,0,51,1,236,1893,25,224,4,55
"WBGene00007251",6,1,10,0,65,1,132,9,2,26,3,93,1347,46,72,1,65
"WBGene00007252",1955,23,85,1214,1729,25,2580,69,1920,509,721,659,217,360,282,1500,658
"WBGene00007253",376,8,3,319,526,55,472,46,261,75,270,57,33,121,47,246,252
"WBGene00007254",873,9,132,368,629,36,1323,76,959,292,559,864,385,96,708,733,303
"WBGene00007255",192,24,218,530,378,70,1016,129,272,142,305,340,1847,79,491,366,4538
"WBGene00007256",7542,1934,3423,5260,15625,2154,15254,8116,12295,1630,2763,2079,1618,7529,7385,3765,38385
"WBGene00007257",3334,17,70,949,6222,1722,3027,1022,899,569,1046,847,292,2314,433,683,755
"WBGene00007258",816,613,1083,1207,2447,526,3807,2926,743,522,1479,964,897,1765,2830,768,13245
"WBGene00007259",0,1,0,1,0,4,1,1,12,1,0,0,1,8,1,0,12
"WBGene00007260",3330,26,199,5531,2784,127,8890,798,58023,2807,4253,567,312,1304,346,2981,4702
"WBGene00007261",16347,72,664,3289,10737,281,14998,714,10016,3164,3758,3132,1350,1332,2243,3590,5653
"WBGene00007262",54,7,4,27,5,3,1366,11,99,117,434,108,1096,7,60,1,1306
"WBGene00007264",2677,1,16,185,1005,5,3283,7,204,1721,1339,613,608,51,81,51,453
"WBGene00007265",5,1,1,36,0,1,13,2,1029,33,8,1,5,5,5,14,14
"WBGene00007266",9007,10,40,621,13801,646,9717,926,3049,849,559,435,115,3142,141,780,4012
"WBGene00007267",5657,773,2236,5314,4510,92,8444,749,46002,4088,5549,5051,2214,978,2825,5602,11619
"WBGene00007268",694,4,4,71,497,2,995,6,192,97,51,61,637,41,14,44,485
"WBGene00007269",268,5,94,28,570,64,224,72,37,7,10,76,194,217,194,5,268
"WBGene00007270",2493,2932,1460,14614,3163,3106,5782,9564,3569,1531,6560,1276,1371,1758,5266,4862,27843
"WBGene00007271",2372,4,3,6,3795,258,2773,233,76,4,11,2,3,1001,5,8,1812
"WBGene00007273",8,0,3,35,12,5,29,17,179,5,13,5,24,10,19,29,149
"WBGene00007274",21,4,234,56,3,6,38,3,294,8,39,213,844,6,429,39,29
"WBGene00007275",220,1,39,354,244,9,252,24,2148,429,197,371,117,31,397,339,117
"WBGene00007277",402,1209,2082,988,278,228,760,2217,143,44,610,551,987,190,3500,440,13991
"WBGene00007278",154,424,607,91,179,129,381,1263,101,10,98,66,656,87,2295,91,3412
"WBGene00007279",0,2,0,53,1,4,1,2,5,6,13,0,0,6,3,28,9
"WBGene00007281",41,11,20,448,74,7,90,29,540,123,246,52,111,25,80,317,173
"WBGene00007282",3,42,1957,20,10,11,39,2,92,18,13,8,1075,13,976,7,126
"WBGene00007283",0,3,825,9,6,2,9,1,21,3,8,4,54,3,596,2,7
"WBGene00007284",2949,271,641,2381,5443,937,7255,2174,4449,1584,1611,1766,1092,2800,1687,1968,8166
"WBGene00007285",929,3,42,793,465,16,1620,26,6925,262,657,179,285,90,154,493,620
"WBGene00007286",1987,183,269,134,3790,348,3081,1139,629,112,170,50,57,1307,170,97,6530
"WBGene00007287",10689,1328,2665,5758,15886,464,21004,3652,13291,3329,5430,2361,1621,6755,2017,4427,34588
"WBGene00007288",32,2,20,271,21,3,135,3,829,21,522,28,8,6,79,239,19
"WBGene00007289",2,4,10,1,1,7,5,6,3,7,1,19,41,9,17,1,32
"WBGene00007290",606,2222,3440,10,278,17,695,453,23,8,7,15,489,122,4052,2,8888
"WBGene00007291",0,1,1,0,0,5,2,2,4,3,0,0,11,8,7,1,9
"WBGene00007292",14,4,1,0,3,8,89,1,1,8,0,0,4,9,5,1,31
"WBGene00007293",0,0,0,0,0,2,2,0,1,2,0,0,1,4,0,0,7
"WBGene00007294",0,1,0,1,0,0,4,1,0,0,0,0,2,6,1,0,12
"WBGene00007295",61,5,61,90,81,24,480,32,575,60,71,56,534,39,166,37,675
"WBGene00007296",15472,274,1293,5475,20786,787,26562,2888,22057,3801,8487,4987,1583,8742,2700,4151,19673
"WBGene00007297",757,1580,2163,6514,856,48,1610,715,4617,499,34214,1742,970,440,3700,3436,7453
"WBGene00007299",208,572,182,361,175,50,380,386,642,184,282,220,235,23,733,358,2267
"WBGene00007301",16,9,1537,56,47,4,105,7,95,16,48,915,5547,15,5292,37,113
"WBGene00007302",1699,18,377,6437,1637,29,2309,82,14396,620,7979,429,950,372,641,3931,997
"WBGene00007303",27,166,2095,3396,68,19,192,93,154,147,2743,352,503,42,1099,1683,683
"WBGene00007304",8,0,47,1622,7,5,100,10,4084,212,1126,242,117,6,284,1164,46
"WBGene00007305",5,4,176,268,8,19,17,30,17,8,174,177,546,15,469,60,42
"WBGene00007306",15,6,76,2,20,1,12,6,17,1,7,216,408,9,455,6,28
"WBGene00007307",12,1,1865,2,1,2,6,14,7,2,0,885,5375,3,2326,3,60
"WBGene00007308",8,9,2622,12,6,7,18,19,26,0,16,2082,13726,5,12623,8,97
"WBGene00007309",82,15,225,21,92,14,93,98,52,11,15,1229,446,31,617,23,321
"WBGene00007310",5,2,5,21,13,5,42,27,67,15,16,7,6,17,8,9,58
"WBGene00007311",0,2,1,87,0,0,21,0,149,29,77,10,27,2,9,47,19
"WBGene00007312",724,245,377,731,1289,489,1237,1062,1254,421,1002,363,502,655,1520,952,1995
"WBGene00007313",29,9,249,21,32,5,39,20,53,11,13,23,60,20,512,23,46
"WBGene00007314",196,6,12,1387,61,10,303,20,1297,91,452,89,75,27,61,521,373
"WBGene00007315",2,4,297,9,12,5,295,15,25,4,10,8,962,5,730,4,2380
"WBGene00007316",93,1,39,4535,33,13,360,42,1560,595,3278,247,140,3,176,3644,80
"WBGene00007317",11622,29,73,2771,23306,1955,13351,3646,22862,2805,1578,795,669,9344,332,2230,12235
"WBGene00007319",11,6,5,3,22,0,29,12,19,5,3,1,2,18,25,0,7
"WBGene00007320",4,2,701,10,4,2,14,1,24,5,7,338,7286,4,3043,7,25
"WBGene00007321",306,25,80,380,1063,291,1162,650,4837,346,476,194,37,829,63,278,2590
"WBGene00007322",108,4,11,247,122,7,232,15,186,52,156,153,106,25,150,273,86
"WBGene00007323",0,5,17,10,0,7,5,2,179,10,8,152,244,9,130,6,5
"WBGene00007324",1174,23,142,2349,2529,565,2723,265,2528,430,1874,490,512,940,427,1678,657
"WBGene00007325",1760,2,5,27,868,5,1718,21,314,858,120,260,268,133,41,22,597
"WBGene00007326",97,2,1,32,70,4,191,9,357,33,31,3,43,10,11,45,198
"WBGene00007327",60,23,177,199,42,18,500,51,986,482,137,553,2786,43,613,193,1717
"WBGene00007328",21,19,12,122,37,25,112,123,465,15,34,19,86,13,23,176,703
"WBGene00007329",5008,3076,7039,7237,8296,671,14513,5433,8029,1658,4226,4033,2589,3657,9986,4111,45382
"WBGene00007330",1086,1668,4023,8367,877,100,9098,1589,17987,3959,3994,10451,6270,335,12700,4065,10775
"WBGene00007331",26,25,6690,1300,30,7,348,32,32889,9682,6089,17630,7832,25,10248,16418,112
"WBGene00007332",4520,5756,6310,200,1791,192,4705,7233,240,103,212,189,1654,529,11767,118,88390
"WBGene00007333",4325,5752,10145,7337,3379,275,6578,2955,6861,2457,4534,5256,4329,1562,16452,5259,41773
"WBGene00007334",122,85,265,1200,197,36,275,267,255,79,585,306,465,56,1269,887,862
"WBGene00007335",28,8,358,3,21,5,57,32,594,5,12,123,425,16,413,3,79
"WBGene00007336",737,6,227,8000,210,4,3018,83,9849,1243,5981,2970,1674,20,2367,6085,378
"WBGene00007337",0,6,466,5,0,3,25,2,177,13,4,175,1405,4,935,7,10
"WBGene00007338",35,13,23,1520,6,2,272,7,736,126,992,109,61,4,117,1091,64
"WBGene00007339",2559,10,121,1701,1394,13,2800,36,2256,877,2746,755,532,183,306,932,845
"WBGene00007340",55,13,256,295,68,11,363,6,2362,200,462,354,720,34,803,369,212
"WBGene00007341",77,36,132,7,55,39,595,3825,125,61,74,281,142,39,291,26,5835
"WBGene00007342",32,83,95,2,55,70,368,5402,27,11,19,7,15,53,28,4,5615
"WBGene00007343",2352,5,37,1023,526,3,8241,106,2023,552,3799,462,1709,34,258,783,1335
"WBGene00007344",63,2,49,582,1,4,2838,3,325,220,9402,695,2184,6,704,58,660
"WBGene00007345",91,2,13,1388,125,25,341,69,1152,74,876,59,35,38,40,783,174
"WBGene00007346",9,2,5,525,10,5,41,13,324,27,408,39,185,27,24,338,104
"WBGene00007347",2195,2,280,998,1448,8,2425,93,3781,568,1071,713,487,182,832,1012,854
"WBGene00007348",1207,245,620,944,1923,198,4056,943,5650,581,744,776,312,862,762,620,6541
"WBGene00007349",1624,28,56,884,2293,248,2302,809,3091,181,673,175,124,556,254,709,944
"WBGene00007350",10630,831,6096,13432,12875,4622,22096,10208,21826,7436,26787,11886,8614,7132,10979,12713,37195
"WBGene00007351",808,15,83,316,1660,761,1664,761,498,85,154,21,18,1190,18,116,2017
"WBGene00007352",10384,11915,36309,23372,10871,1394,18849,9737,37346,18281,19456,20901,14780,5896,44069,32902,77504
"WBGene00007353",956,12,65,3772,1661,16,2322,30,3535,622,7142,747,1358,256,647,2288,1157
"WBGene00007354",15,5,330,102,21,11,20,14,82,19,66,276,979,7,749,82,85
"WBGene00007355",4737,2631,6264,2955,7597,5958,10771,11310,8810,2134,5728,4549,3693,5019,9008,5287,66654
"WBGene00007356",5,9,3,0,1,3,18,78,13,3,0,14,208,4,6,1,653
"WBGene00007357",241,35,214,2975,566,56,473,81,1667,229,4463,567,388,268,1214,1656,313
"WBGene00007358",1,6,22,644,7,7,178,26,1038,17,1795,8,229,7,30,402,399
"WBGene00007359",1,1,2,3,1,1,2,0,10,4,23,0,1,5,2,1,1
"WBGene00007360",1,3,0,101,1,2,4,2,53,8,53,0,2,1,3,50,8
"WBGene00007361",16,4,10,47,24,7,86,24,210,31,16,9,44,24,36,29,139
"WBGene00007362",1008,36,531,1178,1404,29,3297,368,571,2758,2255,4241,1542,546,2752,932,1573
"WBGene00007363",1904,214,452,7371,3938,1357,4129,2460,7498,811,9280,984,761,1520,1225,6137,3677
"WBGene00007364",5,3,0,4,1,4,18,1,281,18,2,2,9,10,15,13,16
"WBGene00007365",162,82,931,10412,203,6,910,181,17258,1367,3883,671,566,69,1558,5259,551
"WBGene00007366",15,3,243,133,24,6,133,15,892,73,58,57,23,10,61,30,16
"WBGene00007367",329,2,5,6,1836,347,616,397,148,57,28,86,35,849,23,52,1379
"WBGene00007368",2860,3,74,9,2109,10,3021,140,737,293,92,643,552,226,292,52,1523
"WBGene00007369",8,2,1,9,2,0,10,1,44,2,1,0,4,4,2,2,14
"WBGene00007370",0,2,0,50,0,2,19,0,498,16,24,9,26,6,14,21,12
"WBGene00007372",15565,135,1149,819,23774,517,38343,5364,6903,891,1915,2356,1263,12155,1243,486,38632
"WBGene00007374",348,9,10,94,227,21,851,40,161,62,171,70,251,46,45,118,899
