Gene_id,3-fold embryo Ce,4-cell embryo Ce,adult Ce,dauer larva Ce,elongating embryo Ce,embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L2d-dauer molt Ce,L3 larva Ce,L4 larva Ce,late cleavage stage embryo Ce,newly molted young adult hermaphrodite Ce,post dauer stage Ce,proliferating embryo Ce
WBGene00044093,1,2,4,22,0,0,3,3,0,92,22,13,8,25,4,3,28,7
WBGene00044094,2073,552,4655,1332,3421,2077,533,3370,1400,4576,1405,1539,3526,4593,1740,5207,1774,6090
WBGene00044095,4,3,1,10,2,0,0,23,2,119,15,6,0,18,4,4,20,5
WBGene00044096,1,2,1,14,0,3,2,9,4,5,3,7,0,9,3,4,3,40
WBGene00044097,4,1,3,0,2,1,0,14,1,10,2,1,0,2,1,1,0,25
WBGene00044099,0,0,3,0,0,0,0,2,0,51,0,1,0,0,0,0,1,1
WBGene00044100,0,3,0,120,0,0,4,5,1,3,0,66,2,3,8,3,63,12
WBGene00044101,0,1,0,68,0,0,4,3,0,2,4,33,0,0,5,2,46,5
WBGene00044102,0,1,0,98,1,0,4,5,2,25,2,39,0,2,8,4,47,9
WBGene00044103,0,6,0,10,0,0,6,13,1,52,4,9,0,13,3,0,28,9
WBGene00044104,0,1,0,395,0,0,4,5,1,82,3,133,0,28,8,8,115,16
WBGene00044105,0,4,0,4,0,0,1,3,1,7,1,4,0,11,7,3,12,5
WBGene00044106,1,1,0,8,0,4,6,7,1,32,5,4,3,34,5,4,0,9
WBGene00044107,1715,7,317,52,1204,226,5,2755,72,1211,898,218,2150,3245,174,1891,142,497
WBGene00044109,11,5,417,9,4,12,3,54,2,13,5522,26,1144,42169,3,500,8,56
WBGene00044112,0,2,5,16,0,0,3,25,2,321,12,11,8,58,3,9,16,26
WBGene00044113,0,3,83,20258,2,0,2,2,1,12,3,12922,0,3,1,9,18679,0
WBGene00044114,1,3,0,55,0,1,3,10,2,15,4,14,0,4,7,8,31,10
WBGene00044115,3,5,3,142,0,0,6,7,0,75,7,63,2,30,15,14,84,17
WBGene00044116,0,0,0,34,0,0,5,4,0,40,4,14,0,1,4,9,37,6
WBGene00044117,1,7,2,1,4,1,11,15,32,72,3,2,1,20,8,5,6,56
WBGene00044119,5,2,2,9,7,0,1,10,2,8,0,4,0,7,2,4,7,30
WBGene00044120,48,6,24,16,27,9,5,151,6,361,17,14,28,118,5,32,19,65
WBGene00044121,3,1,22,448,1,8,8,18,3,72,10,311,49,332,14,44,1124,33
WBGene00044122,0,3,33,5,0,2,3,13,0,181,6,3,56,665,5,378,6,3
WBGene00044124,5,2,1,17,19,5,2,20,2,32,3,2,0,7,6,2,0,15
WBGene00044125,29,6,1,38,18,1,3,49,1,348,23,25,7,47,2,3,37,49
WBGene00044126,3,3,0,13,9,0,1,7,8,42,4,9,2,6,9,5,10,27
WBGene00044127,3,3,84,1,5,14,3,12,48,46,2,0,12,177,7,56,1,75
WBGene00044128,0,1,7,2,0,5,2,3,0,8,3,0,0,46,1,2,5,3
WBGene00044129,4,0,6,3,0,2,1,7,0,12,2,2,0,4,3,3,8,38
WBGene00044130,3,0,7,0,4,2,1,7,1,28,1,2,1,25,1,0,0,14
WBGene00044132,790,3,43,542,364,221,15,1127,8,505,115,707,84,287,37,138,1029,195
WBGene00044133,0,3,1,0,1,0,4,1,0,7,3,0,0,11,2,1,0,10
WBGene00044134,593,27,353,1019,920,679,58,2042,280,5073,372,770,311,731,298,350,759,1858
WBGene00044135,178,1,2,168,53,17,0,345,2,736,30,103,10,85,6,11,140,212
WBGene00044136,1,1,0,2,4,1,0,2,6,3,2,2,1,3,4,2,3,16
WBGene00044137,57,19,15,11,137,34,15,144,167,49,8,7,10,108,40,9,11,554
WBGene00044138,602,2,12,93,850,163,45,770,91,272,133,90,109,121,129,22,45,256
WBGene00044139,3,4,7,24,8,11,3,13,24,486,14,250,5,270,6,8,134,84
WBGene00044140,0,1,1,5,0,1,3,8,3,99,3,1,0,19,3,3,2,38
WBGene00044141,29,2,0,11,114,16,9,47,18,21,3,42,0,12,53,2,8,181
WBGene00044142,16,5,11,8,1,11,0,67,13,88,9,9,0,21,2,19,8,72
WBGene00044143,118,5,88,650,69,177,5,679,6,3056,397,847,155,456,7,60,561,149
WBGene00044144,899,3,44,459,554,349,14,1656,157,4515,138,540,98,320,168,56,467,604
WBGene00044145,1,1,1,32,15,6,18,20,5,45,1,62,3,89,14,2,35,48
WBGene00044146,0,0,0,1,2,0,1,1,0,1,1,0,0,7,3,0,0,7
WBGene00044147,10,3,6,3,12,11,7,40,5,812,4,6,8,58,9,7,5,134
WBGene00044148,164,3,17,26,125,20,6,172,12,43,2,11,1,422,19,23,0,132
WBGene00044149,36,16,349,20,82,178,9,464,80,315,20,10,7,531,48,48,29,7122
WBGene00044150,926,6,84,582,851,134,6,1758,45,431,127,748,133,220,112,247,689,283
WBGene00044151,23,1,1,10,9,18,5,23,8,454,23,112,32,106,8,6,183,59
WBGene00044152,50,0,9,1,45,2,2,38,1,73,28,10,31,129,3,16,34,26
WBGene00044153,8,4,11,120,15,0,7,9,5,34,9,113,22,158,13,43,121,18
WBGene00044154,153,5,13,3,97,17,3,424,2,114,82,15,5,55,11,20,9,153
WBGene00044155,7,9,23,105,20,13,14,45,41,123,18,46,9,992,21,18,95,90
WBGene00044156,163,1,138,18,53,186,10,710,5,192,27,43,184,1367,5,309,7,228
WBGene00044157,3,0,0,0,28,5,1,14,1,8,3,0,0,7,5,1,1,11
WBGene00044158,1,3,29,31,4,6,7,13,6,35,7,17,65,1157,7,125,12,25
WBGene00044159,0,0,7,0,0,1,0,3,6,4,4,0,0,645,2,8,0,9
WBGene00044160,0,0,5,16,4,1,0,16,6,43,7,11,5,7,3,2,6,20
WBGene00044161,4,2,43,19,12,10,2,34,6,193,25,11,4,116,5,66,18,102
WBGene00044162,20,4,3,16,3,5,4,100,2,73,5,39,20,291,5,4,11,40
WBGene00044163,8,0,17,311,39,59,16,24,7,380,65,162,1172,8218,30,30,472,45
WBGene00044164,15,0,14,0,30,17,44,138,223,47,5,3,11,14,31,7,0,536
WBGene00044166,10,3,155,327,14,6,4,39,9,233,19,366,60,157,2,82,125,10
WBGene00044167,44,1,15,138,49,47,7,52,14,470,19,130,23,209,26,64,150,85
WBGene00044168,38,2,14,12,29,71,6,240,46,537,13,3,4,108,12,14,0,665
WBGene00044169,999,1,62,107,853,155,16,1347,10,576,149,52,154,2027,99,63,74,621
WBGene00044170,52,1,29,39,38,11,0,107,54,230,35,43,19,78,5,14,5,256
WBGene00044171,0,2,0,1,0,0,1,5,1,4,1,3,0,7,2,0,0,11
WBGene00044174,0,1,57,10,0,2,0,15,0,54,30,26,391,877,0,354,20,5
WBGene00044175,0,0,95,6,0,4,2,26,0,213,53,44,436,1032,1,394,88,1
WBGene00044176,1055,16,266,4406,434,554,8,4311,69,62318,5030,3654,753,1455,90,371,3909,1062
WBGene00044177,3,9,433,0,1,8,8,11,17,42,7,2,197,3643,9,1289,2,68
WBGene00044178,0,1,207,1,0,0,3,7,2,3,1,0,1,875,4,789,1,10
WBGene00044179,0,3,2,130,0,0,2,7,0,75,5,43,0,4,10,4,35,21
WBGene00044180,33,1,210,27,30,76,3,83,15,547,125,65,187,1851,4,315,22,115
WBGene00044181,43,1,9,69,23,45,3,288,0,77,21,264,20,68,0,11,36,32
WBGene00044182,109,1,19,118,84,67,4,378,1,151,10,422,25,301,12,27,39,37
WBGene00044183,5,0,28,18,8,2,0,10,4,74,3,48,16,70,2,15,9,15
WBGene00044184,1,1,0,8,2,1,0,5,1,16,1,5,1,12,7,1,8,4
WBGene00044185,0,1,0,0,0,0,1,3,0,5,0,0,0,1,0,1,1,28
WBGene00044187,26,3,8,107,1,22,6,162,3,788,23,71,13,108,6,5,63,141
WBGene00044188,370,219,1067,335,820,315,180,841,1000,867,219,148,235,487,484,1228,163,1172
WBGene00044189,0,1,1,293,0,1,0,3,0,9,0,300,0,5,0,1,203,7
WBGene00044191,117,6,1212,2334,216,77,9,556,13,6645,945,3529,1740,6990,34,2424,1540,180
WBGene00044192,0,0,55,18,0,0,4,3,0,12,2,12,6,12115,3,9,12,3
