PHI	log10.PHI	Std.Dev	log10.Std.Dev	0.025	0.975	log10.0.025	log10.0.975
0.528960228	-0.279831678	0.066724359	0.052482713	0.430800537	0.699632165	-0.365723764	-0.155130241
0.116557278	-0.979175508	0.050907217	0.211205127	0.033915244	0.228841184	-1.469605319	-0.640465856
0.66410929	-0.184419468	0.117335119	0.07608897	0.461634415	0.932422385	-0.335701832	-0.030387391
0.579693675	-0.240944877	0.082429216	0.059296665	0.452390173	0.790318592	-0.344486839	-0.102197817
0.529266536	-0.281999499	0.086985933	0.069894016	0.383714561	0.732789316	-0.415991725	-0.135020872
0.248231277	-0.618834794	0.061448239	0.110851913	0.139826739	0.381467634	-0.854409914	-0.41854231
0.217450246	-0.677788317	0.056318088	0.11728452	0.117253595	0.342462926	-0.930873955	-0.465386466
0.712276995	-0.151561335	0.101754589	0.059897408	0.547606765	0.963282135	-0.261531277	-0.016246506
0.726716936	-0.142852232	0.103704622	0.059999039	0.56077359	0.982453928	-0.251212448	-0.00768783
0.816422939	-0.092280187	0.115833612	0.059923889	0.632575584	1.096265548	-0.198887577	0.039915704
0.334025323	-0.485392183	0.06882791	0.089699609	0.214835497	0.488862555	-0.66789401	-0.310813231
0.342465103	-0.477669924	0.080899984	0.104600645	0.19873887	0.515940212	-0.70171719	-0.287400623
0.50344044	-0.30578047	0.095172912	0.082308276	0.338576108	0.713389912	-0.4703437	-0.146673101
0.189213201	-0.752761364	0.066430382	0.169015996	0.072219079	0.332184829	-1.141350182	-0.478620206
0.999561608	-0.003190477	0.121416362	0.050335843	0.82080072	1.318802087	-0.085762271	0.120179614
0.278265685	-0.570908308	0.072542363	0.1181809	0.149230334	0.432654835	-0.826143439	-0.36385847
0.663231611	-0.182061061	0.089566123	0.056216821	0.528029955	0.895868397	-0.277341441	-0.047755931
0.522144198	-0.291100085	0.105325668	0.088537054	0.335396212	0.750517066	-0.474441902	-0.124639428
1.858225942	0.265793115	0.236373534	0.052912447	1.501845275	2.460779878	0.176625191	0.39107276
0.261804968	-0.600162506	0.073146627	0.129709422	0.130279433	0.419194577	-0.885124217	-0.377584497
1.381474376	0.13525258	0.215673768	0.06611033	1.025775292	1.874408606	0.011052228	0.272864269
0.427310199	-0.375321984	0.072250716	0.072453667	0.303577267	0.591939674	-0.517730764	-0.227722575
0.562690794	-0.254737318	0.086520875	0.065760566	0.415668089	0.761079554	-0.381253315	-0.11856995
0.466519475	-0.343930542	0.111225369	0.107349796	0.261407533	0.709966896	-0.582681902	-0.148761946
1.031784177	0.010191221	0.132923648	0.053645109	0.830342183	1.370276536	-0.080742909	0.136808219
2.222200871	0.343320251	0.291025968	0.054032447	1.780818135	2.958004083	0.250619559	0.470998766
0.449124157	-0.355070204	0.083372018	0.080641197	0.303153476	0.635049571	-0.518337586	-0.197192436
0.142067358	-0.875839949	0.049419072	0.163084476	0.057316037	0.247600297	-1.241725119	-0.606248843
0.131299511	-0.932907701	0.060426157	0.22341792	0.036472863	0.270391671	-1.438031163	-0.568006697
0.258109629	-0.594158471	0.043623937	0.071518483	0.188426656	0.363136544	-0.724857676	-0.439930048
2.227854252	0.344462901	0.288803797	0.053845233	1.789566099	2.927366551	0.252747744	0.466477103
0.24920322	-0.625610769	0.075768383	0.144797917	0.107982484	0.408664674	-0.966646715	-0.388633557
0.194675237	-0.753190994	0.081641523	0.203535911	0.060196446	0.379388952	-1.22042925	-0.42091532
0.598584056	-0.228479564	0.097374443	0.069601216	0.432285029	0.819595302	-0.364229826	-0.086400628
0.411154062	-0.390368551	0.059475998	0.061207973	0.314832417	0.552241273	-0.501920561	-0.257871151
0.127535909	-0.941860139	0.056607019	0.215426297	0.036154252	0.258813769	-1.441840824	-0.587012623
0.38248229	-0.427550972	0.082078602	0.095040391	0.236416153	0.561349424	-0.626322918	-0.250766719
1.577824473	0.194999337	0.19358256	0.050833641	1.287478535	2.075107912	0.109739997	0.317040673
0.114583924	-0.9893592	0.051092009	0.21850522	0.032093638	0.230027227	-1.493581086	-0.638220834
