,elongating embryo Ce,L1 larva Ce,dauer larva Ce,adult Ce,L2L3_larva
WBGene00000786,11079,56048,26729,40900,44665
WBGene00000787,1228,7707,23688,890,4782
WBGene00000788,12163,33414,14080,14159,18794
WBGene00000789,3616,59973,10698,1520,19883
WBGene00000792,23507,4580,859,456,3088
WBGene00000793,1868,70337,2720,1630,4229
WBGene00000794,2025,2061,1920,4749,3211
WBGene00000795,1348,2041,1859,227,925
WBGene00000796,6526,14273,13879,3319,5299
WBGene00000797,279,634,59,590,217
WBGene00000798,2262,1439,2060,616,1125
WBGene00000799,1555,1097,217,241,1563
WBGene00000800,10691,23193,12146,6187,15796
WBGene00000801,986,1205,473,222,645
WBGene00000802,166202,202642,77827,41102,234261
WBGene00000803,2099,5394,1118,1017,1010
WBGene00000804,935,469,448,1856,546
WBGene00000812,14417,7276,3089,2922,4675
WBGene00000813,4113,5386,3358,1955,3624
WBGene00000814,9122,5729,9594,3012,5486
WBGene00000815,4793,3102,3335,2057,3171
WBGene00000816,2782,3020,3191,2327,3358
WBGene00000817,4127,5271,3710,2946,3266
WBGene00000818,3700,2732,3203,2053,2878
WBGene00000819,15,726,140,19,37
WBGene00000820,26,1982,771,33,187
WBGene00000821,6,45,5,3,39
WBGene00000822,4758,88216,44850,6458,29016
