GeneName, elongating_embryo_collapse, L1_larva _collapse, L2 larva  collapse, dauer_larva _collapse,L3_larva _collapse,adult _collapse
chp-1,2685,3261,1286,3958,2444,1328
NA,20295,25533,803,252,208,7003
cic-1,2243,2000,383,1394,533,463
cit-1.1,4567,10148,1339,3277,1520,1375
cit-1.2,10719,33091,3375,8633,3252,3019
cka-1,2774,15613,611,4909,1494,1209
cka-2,1274,8363,796,2431,795,162
ckb-1,677,678,219,706,620,58
ckb-2,826,619,209,345,1599,199
NA,36,187,52,7,1,1
ckb-4,2248,1297,515,429,1062,222
ckc-1,1059,1971,750,1131,2252,342
cki-1,27032,2956,484,697,662,108
cki-2,3799,8089,676,2554,925,1469
ckk-1,1321,19152,943,1866,525,116
cku-70,1200,3896,608,2041,1212,1654
cku-80,1193,1799,663,3374,1025,1426
cky-1,3342,227,2253,12,350,1
clc-1,118,3863,367,460,1213,280
clc-2,5843,1931,455,503,717,104
clc-3,580,2624,429,463,374,177
clc-4,6,217,8,7,1,16
clc-5,10287,3133,574,840,722,85
cle-1,7218,25461,3140,2830,2186,2694
clh-1,1672,31084,1525,19691,4118,3244
clh-2,45,16280,827,5006,436,108
clh-3,205,4588,451,11794,948,1265
clh-4,4,4714,331,285,344,47
clh-5,9880,14890,2448,5146,4223,4049
clh-6,2061,3380,583,1786,1185,1310
cpi-2,27886,24308,6334,27754,5140,6208
cpi-1,135,3583,403,7248,1533,2237
clk-1,2402,4452,635,3381,1095,562
cln-3.1,340,103,270,55,733,129
cln-3.2,1287,2267,337,1436,530,363
cln-3.3,401,1653,379,1218,1396,150
clp-1,4222,75301,7022,41017,13317,8272
clp-2,3980,2500,1028,3358,1867,1278
clp-3,21,186,17,152,77,140
clp-4,1636,21603,1295,8821,1808,1018
clp-6,7,36,19,119,122,247
clp-7,4624,7582,2016,4925,4105,3210
clr-1,34515,49404,5484,14707,4964,6473
cls-2,9677,20399,5952,8835,7491,7746
clu-1,23691,35099,14360,14199,17957,12005
clx-1,0,544,2,334,1,0
cmd-1,48689,376200,25580,40310,23176,10057
cmk-1,2888,17843,1725,2256,410,80
cnb-1,11303,39550,2276,5465,2555,633
cnc-1,0,2,4,96,0,0
cnc-2,2,117,57,14,80,43
cnc-3,796,1632,1305,89,1226,164
cnc-4,3,1689,334,42,164,185
cnc-5,0,4,1,313,0,0
cnc-6,0,745,35,4507,7,18
cnd-1,7389,306,489,346,12,23
cng-1,567,582,124,200,59,60
cng-3,41,280,45,209,36,4
cnk-1,6149,23783,1475,3162,1290,2170
cnt-1,4866,10418,4185,4656,3324,3643
cnt-2,15476,15527,2255,3550,2255,3509
cnx-1,24912,37986,7147,25482,11429,6384
cof-2,1796,1056,338,241,284,51
cog-1,2236,8321,384,774,287,37
cogc-2,5707,2510,1089,3343,2310,1654
NA,22694,13991,4487,2631,1485,2194
coh-3,501,622,152,3038,935,1356
col-2,3,10,1,17801,18,2
col-3,13,489,47,145,429,1
col-7,1,4,5,7,6,65
col-8,16,167,12,232,67,44368
col-9,15,28,3,10,0,1
col-10,206,32111,14513,2735,35687,321
col-12,0,126,545,97,2418,221
NA,2,49,351,62,2263,164
col-14,249,467,2704,1574,4566,287
col-17,0,31,57452,248,12147,145
col-19,9,43,18,172,94,61932
col-20,5,11,24,148,119,71952
col-33,23,9,91,736,20,4
col-34,458,3330,1820,899,643,334
col-35,7,23,6,1015,13,3
col-36,44,16,24,9411,65,5
col-37,12,12,1,15522,11,0
col-38,28,84,96,167,16408,651
col-39,70,36438,1611,335,11104,1064
col-40,9,6,1,12479,4,10
col-41,50,210,37581,184,4582,27
col-43,45,2,13,9810,126,75
col-44,2,55,3,1241,1,0
col-45,7,20,9,904,9,16
col-46,56,11,1909,30,742,2
col-47,34,14,176,21,159,1
col-48,315,210,2443,1413,4144,344
col-49,0,69,7,6,1615,168
col-50,8,27,4,6236,6,1
col-51,7,24,2,12035,10,0
col-52,8,998,12,9,8,0
col-53,176,860,62,64,87,46
col-54,17,32,1601,22,1502,0
col-55,3,21,11,15,2,1
col-56,321,49,50,9,17,0
col-58,5,106,354,23,363,17
col-60,3,32,13,63,74,230
col-61,1,158,97,61,68,6
col-62,2,32,3,75,21,54
col-63,22,36,7,6,1477,314
col-64,141,142,14,51,15,8
col-65,272,344,2146,209,946,113
NA,5,13,3,2,1,2
col-68,371,36,86,211,99,31
col-69,70,411,119,29,133,19
H17B01.2,0,38,7,3,7,35
col-71,53,80,80,127,6171,453
col-72,4,132,4,1172,1,2
col-73,5,15,18668,115,12900,424
col-74,2801,741,23,37,25,20
col-75,63,36,56,4,17,1
col-76,46661,1272,1678,2705,1927,382
col-77,16,710,2258,86,3934,711
col-78,11,43,5,9,0,1
col-79,43,103,148,26,1573,34
col-80,74,31248,922,335,5405,76905
col-81,21,72,23,49,121,9736
col-83,14,20,12,365,14,7
col-84,48,54,10,4075,33,60
col-85,66,32,0,13016,8,3
col-86,18,25,4,28,4,11
col-87,3,122,5,41,5,2
col-88,18,14,3,5,18,205
col-89,105,327,224,1328,115,49
col-90,24,23,24220,134,8210,46
col-91,11,5852,453,41,1434,144
col-92,10,769,1012,76,6665,2561
col-93,4,1165,1111,263,7217,35112
col-94,14,19301,1332,301,2083,2788
col-95,0,63,7,60,20,10833
col-96,0,104,8,11,16,829
col-97,188,166,4172,2145,6459,788
col-98,91,22270,6219,1003,17631,22494
col-99,4684,1318,647,146,499,142
col-101,42,1249,102,861,187,49146
col-102,1,10,1,3288,9,0
col-103,109,32718,6463,1852,15783,19281
col-104,46,126,1559,974,3044,209
col-105,299,80,39,25,4,2
col-106,1,37,13,166,52,49367
col-107,155,23011,9080,8068,6877,273
col-108,7,62,3,6569,3,4
col-109,163,274,2044,2927,3551,222
col-110,66,372,60,11,2443,41
col-111,419,109,2032,455,501,157
col-113,229,223,421,168,470,63
col-114,2,19,5,793,10,1
col-115,21,519,723,21,490,32
col-116,19,14,2,54,2,55
NA,0,366,36,52,686,0
col-118,300,6118,888,649,1559,728
col-119,46,163,27,350,123,141316
col-120,49,213,5,161,61,141
col-121,44487,134,8,2,3,7
col-122,15,159,45,324,185,132803
col-123,49,101,12,670,26,13
col-124,33,73,40,240,325,133617
col-125,76,3366,10878,325,18362,545
col-127,0,6,2,1,0,1
col-128,108,29,2430,75,1808,5
col-129,2,586,44,159,110,20079
col-130,21,505,1127,67,2361,183
col-131,277,13,773,39,149,2
col-132,12,16,4,13,11,7
col-133,5,9,163,15,4214,837
col-135,18,20,6,4,21,4068
NA,1,0,2,0,0,2
col-137,0,43,1,6,18,47
col-138,47,21,31,64,4176,363
col-139,11,22,31,104,143,16721
col-140,1,42,49,271,163,115904
col-141,41,137,56,57,139,20
col-142,1,422,211,149,4453,5083
col-143,2,40,9,141,23,41572
col-144,28,17270,8220,4421,23477,353
col-145,9,287,422,78,4475,136
col-146,8,76,93,28,1515,140
col-147,4,13896,1894,315,7590,501
col-148,1,102,6,12,4,0
col-149,104,654,10726,532,40734,688
col-150,167,727,113,3172,1484,187
col-151,25,417,6,651,6,4
col-152,21,30,2,33,8,4
col-153,79,2448,928,628,766,213
col-154,26,724,1091,205,1848,49
col-155,13,1084,513,19,1684,741
col-156,2,102,979,38,1979,102
col-157,13,31,1347,39,1074,90
col-158,170,18,167,9404,250,142
col-159,6,662,627,132,6459,5900
col-160,6,90098,5960,1108,20560,32118
col-161,2,127,421,40,1804,251
col-162,10,17,239,14,749,139
col-163,6,91,7,279,9,7
col-164,4,31,2,572,1,1
col-165,4517,1330,51,125,7,1
col-166,203,32661,11398,2498,19260,579
col-167,58,14203,8153,1276,12674,147
col-168,1,3966,1781,71,4346,66
col-169,11,2310,3240,286,12044,52
col-170,0,709,478,14,2352,14
col-171,3,16,4,27,15,0
col-172,445,103,657,131,241,11
col-173,43,9,1883,274,515,21
col-174,716,69,229,417,134,9
col-175,7,21,4,83,3447,274
col-176,55,2666,1530,2155,14230,46
col-177,327,1105,71,131,65,11
col-178,2,20,20,122,81,39234
col-179,3,9,3,18,32,8640
col-180,2,60,1474,301,5622,214
col-181,52,327,30,209,133,94497
col-182,12,150,355,24,347,4
col-183,8,19,2,12582,3,0
col-184,12,78,60,279,150,34141
col-185,0,5,3,2817,4,0
col-186,175,372,167,71,173,40
col-187,14,25,12,21,7,1
coq-1,3252,6835,1336,3152,3094,1127
coq-2,1616,4675,722,3252,1290,1169
coq-3,1566,2890,511,1949,703,472
coq-4,568,1917,307,1331,499,343
coq-5,2488,2248,894,1227,2201,951
coq-6,3138,6150,1443,2630,2366,1028
coq-8,4397,5741,2950,3161,4834,2140
cor-1,5252,8508,1907,2399,2698,532
cpb-1,290,376,146,244,2751,2744
cpb-2,36,32,10,9,789,532
cpb-3,1148,555,372,2273,2428,7004
cpf-1,3434,2406,836,2172,1938,2829
cpf-2,3845,2735,1120,2192,1242,2036
cpin-1,4525,1431,348,1826,828,127
cpl-1,35669,62259,32702,60466,28820,80005
cpn-1,2920,2292,1089,5940,3627,5082
cpn-2,19590,336,888,172,1128,91
cpn-3,43570,38771,10461,17784,26182,13184
cpn-4,158,1967,1826,1530,2935,742
NA,34,13103,19357,273,32401,19962
cpr-2,6,24288,74,1092,14,7
NA,3,3514,291,117,1362,112
cpr-4,12,15529,22477,837,62217,15943
cpr-5,11,12452,38059,261,63243,5757
cpr-6,11079,56048,26995,26729,17670,40900
cps-6,1228,7707,1877,23688,2905,890
cpz-1,12163,33414,11442,14080,7352,14159
cpz-2,3616,59973,7051,10698,12832,1520
crb-1,23507,4580,2149,859,939,456
crh-1,1868,70337,3095,2720,1134,1630
crn-1,2025,2061,1471,1920,1740,4749
crn-2,1348,2041,434,1859,491,227
crn-3,6526,14273,1944,13879,3355,3319
crn-4,279,634,41,59,176,590
crn-5,2262,1439,373,2060,752,616
crn-6,1555,1097,845,217,718,241
cars-1,10691,23193,8304,12146,7492,6187
NA,986,1205,307,473,338,222
crt-1,166202,202642,84392,77827,149869,41102
csb-1,2099,5394,629,1118,381,1017
csc-1,935,469,273,448,273,1856
csk-1,14417,7276,2627,3089,2048,2922
csn-1,4113,5386,1322,3358,2302,1955
csn-2,9122,5729,1698,9594,3788,3012
csn-3,4793,3102,852,3335,2319,2057
csn-4,2782,3020,1681,3191,1677,2327
csn-5,4127,5271,1091,3710,2175,2946
csn-6,3700,2732,1038,3203,1840,2053
csp-1,15,726,22,140,15,19
csp-2,26,1982,63,771,124,33
csp-3,6,45,0,5,39,3
csq-1,4758,88216,10276,44850,18740,6458
ctl-1,1555,379,343,3770,97,73
ctl-2,11231,45698,3943,17181,5530,3849
ctn-1,7977,25280,1533,11443,1722,813
cts-1,47322,163645,57500,49274,88734,39877
cua-1,3460,9826,2392,6973,3844,3813
cuc-1,8098,3803,3201,2113,4449,1104
cul-1,5184,12394,2739,5880,3934,6377
cul-2,15992,39758,5334,10093,5878,10991
cul-3,13593,20237,2705,6276,4884,9353
cul-4,8070,3360,1632,6563,2517,1979
cul-5,6717,5232,1683,8081,2389,2175
cul-6,264,575,153,326,602,141
cup-2,10318,7485,2076,3868,4023,3230
cup-4,4237,1692,444,664,893,140
cup-5,4673,7957,1217,3077,1636,3389
NA,11,30,13,8334,28,8
cut-6,4631,585,241,1220,167,19
cux-7,4864,3391,724,3753,1735,1168
cwn-1,10311,3384,610,1177,960,167
cwn-2,12923,4164,643,1579,427,51
cwp-1,0,49,1,1,1,1
