,elongating embryo Ce,L1 larva Ce,L2 larva Ce,dauer larva Ce,L3 larva Ce,adult Ce
WBGene00000632,3,21,11,15,2,1
WBGene00000633,321,49,50,9,17,0
WBGene00000634,5,106,354,23,363,17
WBGene00000636,3,32,13,63,74,230
WBGene00000637,1,158,97,61,68,6
WBGene00000638,2,32,3,75,21,54
WBGene00000639,22,36,7,6,1477,314
WBGene00000640,141,142,14,51,15,8
WBGene00000641,272,344,2146,209,946,113
WBGene00000642,5,13,3,2,1,2
WBGene00000644,371,36,86,211,99,31
WBGene00000645,70,411,119,29,133,19
WBGene00000646,0,38,7,3,7,35
WBGene00000647,53,80,80,127,6171,453
WBGene00000648,4,132,4,1172,1,2
WBGene00000649,5,15,18668,115,12900,424
WBGene00000650,2801,741,23,37,25,20
WBGene00000651,63,36,56,4,17,1
WBGene00000652,46661,1272,1678,2705,1927,382
WBGene00000653,16,710,2258,86,3934,711
WBGene00000654,11,43,5,9,0,1
WBGene00000655,43,103,148,26,1573,34
WBGene00000656,74,31248,922,335,5405,76905
WBGene00000657,21,72,23,49,121,9736
WBGene00000658,14,20,12,365,14,7
WBGene00000659,48,54,10,4075,33,60
WBGene00000660,66,32,0,13016,8,3
WBGene00000661,18,25,4,28,4,11
WBGene00000662,3,122,5,41,5,2
WBGene00000663,18,14,3,5,18,205
WBGene00000664,105,327,224,1328,115,49
WBGene00000665,24,23,24220,134,8210,46
WBGene00000666,11,5852,453,41,1434,144
WBGene00000667,10,769,1012,76,6665,2561
WBGene00000668,4,1165,1111,263,7217,35112
WBGene00000669,14,19301,1332,301,2083,2788
WBGene00000670,0,63,7,60,20,10833
WBGene00000671,0,104,8,11,16,829
WBGene00000672,188,166,4172,2145,6459,788
WBGene00000673,91,22270,6219,1003,17631,22494
WBGene00000674,4684,1318,647,146,499,142
WBGene00000675,42,1249,102,861,187,49146
WBGene00000676,1,10,1,3288,9,0
WBGene00000677,109,32718,6463,1852,15783,19281
WBGene00000678,46,126,1559,974,3044,209
WBGene00000679,299,80,39,25,4,2
WBGene00000680,1,37,13,166,52,49367
WBGene00000681,155,23011,9080,8068,6877,273
WBGene00000682,7,62,3,6569,3,4
WBGene00000683,163,274,2044,2927,3551,222
WBGene00000684,66,372,60,11,2443,41
WBGene00000685,419,109,2032,455,501,157
WBGene00000687,229,223,421,168,470,63
WBGene00000688,2,19,5,793,10,1
WBGene00000689,21,519,723,21,490,32
WBGene00000690,19,14,2,54,2,55
WBGene00000691,0,366,36,52,686,0
WBGene00000692,300,6118,888,649,1559,728
WBGene00000693,46,163,27,350,123,141316
WBGene00000694,49,213,5,161,61,141
WBGene00000695,44487,134,8,2,3,7
WBGene00000696,15,159,45,324,185,132803
WBGene00000697,49,101,12,670,26,13
WBGene00000698,33,73,40,240,325,133617
WBGene00000699,76,3366,10878,325,18362,545
WBGene00000701,0,6,2,1,0,1
WBGene00000702,108,29,2430,75,1808,5
WBGene00000703,2,586,44,159,110,20079
WBGene00000704,21,505,1127,67,2361,183
WBGene00000705,277,13,773,39,149,2
WBGene00000706,12,16,4,13,11,7
WBGene00000707,5,9,163,15,4214,837
WBGene00000708,18,20,6,4,21,4068
WBGene00000709,1,0,2,0,0,2
WBGene00000710,0,43,1,6,18,47
WBGene00000711,47,21,31,64,4176,363
WBGene00000712,11,22,31,104,143,16721
WBGene00000713,1,42,49,271,163,115904
WBGene00000714,41,137,56,57,139,20
WBGene00000715,1,422,211,149,4453,5083
WBGene00000716,2,40,9,141,23,41572
WBGene00000717,28,17270,8220,4421,23477,353
WBGene00000718,9,287,422,78,4475,136
WBGene00000719,8,76,93,28,1515,140
WBGene00000720,4,13896,1894,315,7590,501
WBGene00000721,1,102,6,12,4,0
WBGene00000722,104,654,10726,532,40734,688
WBGene00000723,167,727,113,3172,1484,187
WBGene00000724,25,417,6,651,6,4
WBGene00000725,21,30,2,33,8,4
WBGene00000726,79,2448,928,628,766,213
WBGene00000727,26,724,1091,205,1848,49
WBGene00000728,13,1084,513,19,1684,741
WBGene00000729,2,102,979,38,1979,102
WBGene00000730,13,31,1347,39,1074,90
WBGene00000731,170,18,167,9404,250,142
WBGene00000732,6,662,627,132,6459,5900
WBGene00000733,6,90098,5960,1108,20560,32118
WBGene00000734,2,127,421,40,1804,251
