,elongating embryo Ce,L1 larva Ce,L2 larva Ce,dauer larva Ce,L3 larva Ce,adult Ce
WBGene00018680,228,1413,127,312,181,195
WBGene00018681,5483,15585,3005,4043,1974,3258
WBGene00018682,22088,2304,12631,2902,18065,1409
WBGene00018683,177,276,77,48,117,11
WBGene00018684,1,36,3,0,0,0
WBGene00018687,0,8,3,4,1,2
WBGene00018688,48,90,16,60,9,69
WBGene00018689,1778,985,127,267,157,521
WBGene00018690,282,100,6,38,10,7
WBGene00018691,10,4,6,0,0,0
WBGene00018692,5,2243,275,469,368,94
WBGene00018693,1,148,17,25,4,0
WBGene00018694,505,1253,354,311,109,61
WBGene00018696,26,1672,183,510,142,39
WBGene00018697,2691,8105,998,2170,805,138
WBGene00018698,312,153,68,1336,761,1678
WBGene00018699,102,1885,57,62,5,2
WBGene00018700,16247,87099,7894,42421,7359,9763
WBGene00018701,15398,110997,20541,12903,24692,23362
WBGene00018702,1911,1212,390,612,480,120
WBGene00018703,5340,5692,958,1423,1613,851
WBGene00018704,6064,10512,785,1907,1333,582
WBGene00018706,511,544,1744,43,1110,29
WBGene00018707,31,501,168,19,452,43
WBGene00018708,33,263,79,1,181,74
WBGene00018709,50,32,8,13,4,1
WBGene00018710,35483,86631,8337,12291,5165,2973
WBGene00018711,3,2150,24,173,16,26
WBGene00018712,10,477,18,71,24,27
WBGene00018713,735,119,167,48,50,39
WBGene00018714,2740,5219,508,1038,499,252
WBGene00018715,237,653,275,121,222,40
WBGene00018716,622,2188,245,501,354,154
WBGene00018717,1438,2023,338,929,417,237
WBGene00018718,7268,1393,1149,489,2138,457
WBGene00018719,3215,2501,557,708,683,358
WBGene00018720,352,459,75,227,123,31
WBGene00018721,537,1249,227,801,578,1558
WBGene00018723,310,459,142,531,230,189
WBGene00018724,1,2112,1077,2344,2838,433
WBGene00018725,14,727,33,103,26,20
WBGene00018726,286,32,25,3,8,0
WBGene00018727,1699,683,35,187,26,3
WBGene00018728,189,4827,83,367,53,48
WBGene00018729,35,15074,1635,1075,2498,424
WBGene00018730,150,23950,1561,285,1482,398
WBGene00018731,229,81467,4001,560,10138,8489
WBGene00018732,62,2388,420,350,425,91
WBGene00018734,5886,15675,3533,4062,2760,1161
WBGene00018735,1491,3400,616,851,570,1022
WBGene00018736,191,2595,191,539,74,11
WBGene00018737,10162,2305,15191,844,3611,93
WBGene00018738,5937,607,604,236,689,16
WBGene00018739,2513,58006,4037,8489,2355,1785
WBGene00018740,3022,6189,662,2228,868,1193
WBGene00018741,53,213,987,232,393,3
WBGene00018742,4432,1760,261,128,190,20
WBGene00018743,92431,8683,2970,2994,2145,472
WBGene00018744,166,7040,5501,905,6339,272
WBGene00018745,3,56,6,16,122,320
WBGene00018746,132,72,2,3,0,148
WBGene00018747,2753,2077,46,26,20,6
WBGene00018748,3751,970,218,166,73,11
WBGene00018750,1222,3699,115,202,62,3
WBGene00018751,135,9,7,9,1,1
WBGene00018752,152,52,29,38,6,1
WBGene00018754,55,123,6,5,2,44
WBGene00018755,24,4028,739,1573,920,240
WBGene00018756,9323,69003,3822,24576,4242,4563
WBGene00018757,5171,11521,721,2126,1177,756
WBGene00018758,7076,7494,1184,7926,932,361
WBGene00018759,0,48,5,3,0,0
WBGene00018760,82,8617,320,35,478,312
WBGene00018761,163,48,31,30,25,18
WBGene00018762,3194,2652,431,1369,1001,1018
WBGene00018763,2792,3362,284,1261,405,72
WBGene00018764,13419,87024,8581,34197,16972,8978
WBGene00018765,1931,3857,1552,2106,1950,1074
WBGene00018766,2750,360,20,149,11,35
WBGene00018767,9,31,16,11,28,30
WBGene00018768,2,7,2,3,10,8
WBGene00018769,5288,6359,2456,3884,4845,2950
WBGene00018771,84,145,16,24,17,13
WBGene00018772,217,322,11,116,28,37
WBGene00018773,19,72,5,48,36,64
WBGene00018774,48,99,35,139,36,50
WBGene00018776,4959,7882,1325,5790,2621,3024
WBGene00018777,1675,6781,838,1942,901,1494
WBGene00018778,5300,5031,2247,2811,2448,5895
WBGene00018779,452,1288,434,1056,986,169
WBGene00018781,744,1957,811,972,796,1049
WBGene00018782,6570,35177,9508,22943,8956,7855
WBGene00018783,5,32,6,15,522,636
WBGene00018784,3718,2730,2984,1644,2784,1026
WBGene00018785,1206,6943,473,1129,801,1009
WBGene00018786,156,1084,1112,194,983,683
WBGene00018787,1360,2416,298,464,553,74
WBGene00018788,3170,12785,1074,3329,1024,490
WBGene00018789,23,2441,95,497,300,58
WBGene00018791,401,762,55,333,13,1
WBGene00018792,20,33,5,33,51,61
WBGene00018793,918,1576,384,1183,783,889
WBGene00018794,4178,5700,1036,2031,989,2946
WBGene00018795,979,360,40,342,115,134
WBGene00018797,6779,12635,1597,3091,4060,3068
WBGene00018798,139,1085,138,321,61,22
WBGene00018802,6300,7068,1204,3302,2585,2447
WBGene00018803,81,34798,323,2183,143,63
WBGene00018804,1203,1043,139,1203,236,73
WBGene00018805,16,48,17,105,42,37
WBGene00018806,490,1098,122,734,168,895
WBGene00018808,192,20,4,3,0,358
WBGene00018809,14,30,39,12,23,5
WBGene00018810,4,1,3,1,5,5
WBGene00018811,3416,63613,12376,6762,51059,24286
WBGene00018812,9199,17218,2676,6865,3769,7759
WBGene00018814,1634,8244,636,2005,629,767
WBGene00018815,4,19,4,6,5,0
WBGene00018816,10,11,3,4,0,1
WBGene00018819,1138,9249,991,1968,842,3677
WBGene00018820,1,7,2,379,1,0
WBGene00018821,3,15,3,2,1,4
WBGene00018822,127,5,0,1,1,9
WBGene00018823,259,7516,5244,783,7097,520
WBGene00018824,5419,48,11,2,0,1
WBGene00018825,0,158,28,64,5,1
WBGene00018826,1,17,2,113,0,1
WBGene00018827,3525,978,696,1281,1674,816
WBGene00018828,583,59,65,3,16,110
WBGene00018829,183,87,76,10,43,0
WBGene00018830,1638,640,235,1000,559,1257
WBGene00018831,1772,1865,579,3297,601,526
WBGene00018833,939,3204,232,2218,443,1030
WBGene00018834,79,592,22,19,8,3
WBGene00018835,1125,297,146,1067,313,127
WBGene00018836,3029,1054,540,1752,1299,642
WBGene00018837,1061,41823,3006,12905,1685,445
WBGene00018838,61,1590,171,151,13,15
WBGene00018839,5,75,25,8,96,99
WBGene00018840,15,34,8,30,5,27
WBGene00018841,2,12,7,4,261,514
WBGene00018842,52,122,8,58,10,0
WBGene00018844,27,174,20,53,19,4
WBGene00018845,343,44,15,314,60,142
WBGene00018846,12829,90042,15716,106315,27968,22203
WBGene00018847,6422,18910,2561,6414,4415,4828
WBGene00018848,1711,2391,431,3071,997,665
WBGene00018849,17616,43497,10683,26285,10335,15432
WBGene00018850,28,260,35,107,38,21
WBGene00018851,16,124,21,33,23,13
WBGene00018853,3413,2285,927,696,1607,429
WBGene00018854,3746,19150,1629,1646,712,142
WBGene00018855,127,336,27,89,15,0
WBGene00018856,86,4415,64,1075,38,15
WBGene00018857,10148,22665,2816,4186,2574,1288
WBGene00018859,3,366,49,128,72,4
WBGene00018860,2026,4279,673,2179,982,258
WBGene00018861,2905,1552,204,525,101,19
WBGene00018863,1090,1951,388,1949,875,501
WBGene00018864,6085,8514,1395,5387,2088,3343
WBGene00018865,2,115,21,7,16,26
WBGene00018866,10560,8071,3251,8300,5078,3326
WBGene00018867,114,76,25,725,259,345
WBGene00018868,17,1806,10,42,3,0
WBGene00018869,8510,48628,4766,15616,4352,1074
WBGene00018870,4,81,5,7,2,0
WBGene00018871,18,1863,330,1492,266,21
WBGene00018872,7765,26386,2066,13492,3182,4324
WBGene00018873,15,298,142,1142,29,15
WBGene00018874,78,1438,206,3996,599,129
WBGene00018875,0,24,2,0,0,0
WBGene00018876,0,52,2,0,0,1
WBGene00018877,9756,204,1115,1724,3116,972
WBGene00018878,5719,4403,792,2597,1391,1010
WBGene00018879,111,4935,222,1312,127,23
WBGene00018880,40,2272,166,359,62,34
WBGene00018881,0,32,1,1,1,1
WBGene00018882,0,7,2,0,0,0
WBGene00018883,0,56,9,0,0,0
WBGene00018884,4,65,7,10,1,0
WBGene00018885,262,1427,458,55,1017,391
WBGene00018886,115,21452,649,2429,656,307
WBGene00018888,1,24,5,0,0,0
WBGene00018890,7441,14088,1259,9794,3041,1967
WBGene00018891,8319,5690,3211,7863,3775,1816
WBGene00018892,6842,4960,918,4376,2752,3531
WBGene00018893,6423,5216,1172,5063,2688,1590
WBGene00018894,577,980,229,1061,508,984
WBGene00018895,32,15,5,4,305,312
WBGene00018896,38,79,44,490,16,1
WBGene00018897,4765,3099,1109,2507,1548,3229
WBGene00018898,14374,31091,5879,13673,10393,9468
WBGene00018899,692,142,172,25,44,22
WBGene00018900,4518,4326,3390,6065,6201,14877
WBGene00018901,173,217,84,806,408,335
WBGene00018902,388,887,143,2149,916,1909
WBGene00018903,270,123,22,889,49,161
WBGene00018904,1234,1057,314,1086,789,629
WBGene00018906,23,948,80,17,78,17
WBGene00018907,167,853,137,233,539,78
WBGene00018908,447,507,185,962,570,601
WBGene00018909,1340,1315,238,1501,545,1255
WBGene00018911,0,1,0,765,1,128
WBGene00018918,0,2,22,16,4,0
WBGene00018921,35,322,286,201,654,197
WBGene00018923,604,1558,165,1018,654,1594
WBGene00018924,96,1412,47,1277,63,14
WBGene00018925,1701,2897,1166,2884,1979,1808
WBGene00018926,15,186,5,27,245,443
WBGene00018928,5302,783,1694,630,2353,435
WBGene00018930,35,277,19,42,254,374
WBGene00018931,2454,2022,299,3986,122,76
WBGene00018932,2363,3451,1311,2842,1851,977
WBGene00018933,0,6,2,2,2,0
WBGene00018934,1533,6719,2011,5118,3607,2020
WBGene00018935,1883,1735,318,2199,1151,844
WBGene00018937,3,1610,93,222,110,15
WBGene00018938,1,22,4,10,4,0
WBGene00018939,38,691,140,7,265,42
WBGene00018940,0,9,1,0,0,0
WBGene00018941,0,4,7,0,7,6
WBGene00018942,0,6,6,0,0,0
WBGene00018943,5,119,1,11,0,9
WBGene00018944,0,3,1,0,0,0
WBGene00018945,10,34,64,6,77,28
WBGene00018946,54,300,140,2189,116,9
WBGene00018948,1654,1985,228,2079,993,4138
WBGene00018949,11,58,11,44,20,37
WBGene00018950,918,1035,207,2677,1514,5418
WBGene00018951,2003,8186,5434,1297,10609,2192
WBGene00018952,17788,20125,2092,4483,2151,249
WBGene00018953,19260,100765,6336,28138,5674,17600
WBGene00018954,430,993,184,607,284,713
WBGene00018955,807,932,129,965,297,334
WBGene00018957,3308,1824,739,1053,953,1110
WBGene00018958,1192,3195,767,1630,583,232
WBGene00018959,2687,3711,667,3340,1242,2142
WBGene00018960,4372,13275,1855,2157,2919,2580
WBGene00018961,3187,2010,903,1356,1476,666
WBGene00018963,20606,66839,29756,27195,39930,24959
WBGene00018964,683,491,222,1958,612,1274
WBGene00018965,5835,260,2750,91,960,14
WBGene00018966,243,3248,140,763,321,121
WBGene00018967,14897,14006,4563,7470,8456,10060
WBGene00018968,11,297,13,14,4,1
WBGene00018969,6531,17732,16361,1554,5039,98
WBGene00018970,9,22,11,1,2,6
WBGene00018971,137,16546,2052,235,4088,613
WBGene00018972,45,378,6,43,10,0
WBGene00018973,1,66,4,5,19,0
WBGene00018974,3926,9942,1942,5195,2605,3143
WBGene00018975,3187,6776,1468,3424,3245,4639
WBGene00018976,6036,8831,954,1201,485,147
WBGene00018978,7,1,0,0,4,1
WBGene00018979,0,1,1,0,8,0
WBGene00018980,8,9,7,0,135,75
WBGene00018981,0,2,2,0,6,2
WBGene00018982,0,8,4,0,2,0
WBGene00018984,1575,12196,5401,2101,7139,1488
WBGene00018985,1374,5598,251,1783,319,68
WBGene00018986,285,4656,1476,4735,1641,348
WBGene00018987,9568,2391,948,1438,1531,457
WBGene00018988,6,140,28,310,12,3
WBGene00018989,369,762,230,823,345,84
WBGene00018990,548,7661,1360,3469,1359,310
WBGene00018991,697,517,68,874,338,1481
WBGene00018994,0,6,11,24,31,16
WBGene00018995,7091,5094,1816,4882,3200,3185
WBGene00018996,6389,2788,969,3115,1501,522
WBGene00018997,47,1304,77,170,46,8
WBGene00018998,9046,2283,1048,2239,1270,1326
WBGene00018999,177,580,57,260,312,335
WBGene00019001,2173,67208,5194,9581,13523,7261
WBGene00019002,853,220,189,3098,1746,2222
WBGene00019004,1872,4040,494,5859,1311,1513
WBGene00019005,2477,927,270,3920,762,325
WBGene00019006,1373,5210,257,4574,424,532
WBGene00019007,4171,34839,12841,7382,18695,9475
WBGene00019008,1739,3053,733,2587,1840,1726
WBGene00019009,1368,4093,756,1094,486,343
WBGene00019010,250,647,132,148,128,106
WBGene00019011,3772,3214,743,3573,1512,2168
WBGene00019012,146,707,185,656,117,65
WBGene00019013,204,240,64,988,386,472
WBGene00019014,1528,659,291,558,305,43
WBGene00019015,9,23,1,22,188,211
WBGene00019016,25,88,8,161851,1,8
WBGene00019017,7672,245469,37234,31469,63137,23010
WBGene00019018,2092,49380,4103,12334,2478,504
WBGene00019019,18,299,29,466,35,3
WBGene00019020,53,928,44,535,541,259
WBGene00019021,75,459,492,2581,8699,28
WBGene00019022,3272,2234,642,1472,1117,250
WBGene00019023,22,1308,58,447,44,4
WBGene00019024,3,18,7,11,114,153
WBGene00019025,102,827,53,102,57,7
WBGene00019026,0,5,1,0,73,243
WBGene00019027,0,23,5,9,5,0
WBGene00019028,0,52,9,0,1,0
WBGene00019029,93,267,51,27,109,36
WBGene00019030,4334,2290,833,160,661,168
WBGene00019032,34,462,40,105,21,3
WBGene00019034,30,4,2,0,0,15
WBGene00019035,189,48,5,1,1,82
WBGene00019036,13,103,10,3,0,16
WBGene00019037,91,14,5,0,0,166
WBGene00019038,6,31,2,5,0,11
WBGene00019039,328,4,3,1,0,42
WBGene00019040,374,1,2,2,0,24
WBGene00019041,21,1,5,0,0,102
WBGene00019042,29,4,4,0,1,135
WBGene00019043,35,3,4,1,0,55
WBGene00019044,8,1,4,0,0,47
WBGene00019045,15,2,6,0,0,26
WBGene00019046,0,5,3,22,0,1
WBGene00019047,74,2073,85,993,164,27
WBGene00019048,451,1448,246,775,433,32
WBGene00019049,124,31,2,6,0,1
WBGene00019050,5,16,5,5,1,0
WBGene00019051,4,41,3,21,2,0
WBGene00019053,0,13,15,100,1,1
WBGene00019054,14,35,5,151,1,0
WBGene00019055,214,4857,228,1239,167,46
WBGene00019057,1711,863,305,813,845,73
WBGene00019058,18,1176,185,27,457,42
WBGene00019059,4,12,7,21,0,2
WBGene00019060,8973,3226,2287,3017,3486,1157
WBGene00019061,14162,80203,17398,33727,18895,9214
WBGene00019062,4,2,1,0,35,75
WBGene00019063,9,39,8,7,86,69
WBGene00019064,841,100460,3230,29075,3663,1047
WBGene00019065,0,4,1,6,0,0
WBGene00019066,1,2,3,4,0,0
WBGene00019067,24,2703,200,296,111,11
WBGene00019068,26,3276,339,1121,1233,652
WBGene00019069,14,4686,194,680,115,36
WBGene00019070,13,76,24,102,69,96
WBGene00019072,21,64,40,64,24,19
WBGene00019074,8930,7075,2638,3951,4736,917
WBGene00019075,1242,2317,558,3268,1025,1086
WBGene00019076,4840,3243,995,2548,2235,1195
WBGene00019077,6271,7543,1125,2579,1927,2778
WBGene00019079,670,1715,295,2805,483,186
WBGene00019080,154,112,19,36,27,1
WBGene00019081,92,1900,87,11,169,224
WBGene00019082,1040,719,65,204,44,233
WBGene00019083,0,1087,27,3,0,1
WBGene00019084,13,117,5,30,78,711
WBGene00019085,1,63,9,0,0,2
WBGene00019086,0,33,5,6,320,426
WBGene00019087,9211,3051,1114,1447,1244,6866
WBGene00019089,2,20,192,1,174,4
WBGene00019090,1,2198,193,51,398,33
WBGene00019091,0,182,11,39,3,0
WBGene00019092,5,5437,442,2184,378,77
WBGene00019094,10,21,4,37,4,3
WBGene00019096,3,11,6,4,77,66
WBGene00019097,414,23108,4480,7158,6780,1629
WBGene00019098,0,17,6,231,5,3
WBGene00019099,0,113,11,295,4,0
WBGene00019100,476,472,362,176,387,141
WBGene00019101,29,59,38,94,58,19
WBGene00019102,12412,9408,1163,6645,1663,782
WBGene00019103,535,853,29,371,14,14
WBGene00019104,2,12,6,7,4,1
WBGene00019105,3,2917,715,20,1167,460
WBGene00019106,0,139,8,139,4,0
WBGene00019107,1,70,11,3,2,0
WBGene00019108,2316,3738,158,418,138,40
WBGene00019109,34,624,82,290,126,15
WBGene00019111,407,4402,989,3409,3069,145
WBGene00019112,5,94,10,28,29,2
WBGene00019113,78,3097,257,1583,339,51
WBGene00019115,360,501,67,608,143,13
WBGene00019116,2197,3947,410,1138,578,104
WBGene00019118,5533,6426,1725,5067,2554,5534
WBGene00019119,0,52,4,3,29,4
WBGene00019120,1220,972,868,1697,641,552
WBGene00019121,1207,908,807,1624,566,455
WBGene00019122,5713,9712,1270,6296,2829,1443
WBGene00019123,4,5,6,92,0,1
WBGene00019124,8912,9321,1814,4975,3385,6823
WBGene00019125,1138,712,223,562,268,284
WBGene00019126,7112,4761,1325,2727,1613,1476
WBGene00019127,6065,22431,3650,5718,7039,4626
WBGene00019128,535,2728,323,1456,229,33
WBGene00019129,1304,366,123,2428,591,591
WBGene00019130,793,1263,308,2069,494,1015
WBGene00019131,53,383,29,582,77,99
WBGene00019132,68,42,21,124,45,166
WBGene00019134,8,4,1,3,14,18
WBGene00019135,6,7,10,3,0,2
WBGene00019136,9,31,4,15,1,0
WBGene00019137,0,4,5,1,0,0
WBGene00019138,102,17,15,335,128,73
WBGene00019139,303,86,22,860,191,165
WBGene00019140,305,96,36,721,148,75
WBGene00019141,357,162,80,1723,368,432
WBGene00019142,464,267,54,892,240,108
WBGene00019143,1421,6394,337,635,176,168
WBGene00019144,527,343,11,53,3,7
WBGene00019145,0,36,14,4,49,7
WBGene00019146,39,2325,648,335,1485,202
WBGene00019148,8469,368,12035,537,11696,173
WBGene00019149,165,1248,41,258,35,9
WBGene00019150,52,187,21,32,291,18
WBGene00019151,0,238,8,13,282,598
WBGene00019152,0,20,32,11,209,21
WBGene00019153,281,922,158,1306,57,809
WBGene00019154,27139,117,7040,514,6938,40
WBGene00019155,110,3,2,4,30,23
WBGene00019156,85,15881,716,8519,229,38
WBGene00019157,9389,23055,2160,2849,3213,7179
WBGene00019158,8546,18474,1786,2566,1574,1199
WBGene00019159,4,30,6,9,1,5
WBGene00019160,692,87027,6151,27897,2115,265
WBGene00019162,10161,17891,6967,9286,10837,6498
WBGene00019163,2392,3828,1591,5634,2931,4907
WBGene00019164,17,1433,338,3402,1630,478
WBGene00019165,7,37,7,2,153,331
WBGene00019166,1608,12868,691,2962,883,252
WBGene00019167,2795,3108,300,1314,376,442
WBGene00019168,10526,11396,3116,11703,6883,3455
WBGene00019169,9,103,14,9,309,35
WBGene00019170,1623,4501,647,2178,597,293
WBGene00019171,0,7,6,8,37,17
WBGene00019174,301,72,19,739,55,12
WBGene00019176,121,1569,177,1032,438,97
WBGene00019177,246,7882,148,296,20,2
WBGene00019178,24,23,2,159718,0,1
WBGene00019179,6,23,1,95732,0,1
WBGene00019180,200,9886,735,3152,435,88
WBGene00019181,8,327,21,36,15,3
WBGene00019182,491,3400,209,907,445,63
WBGene00019183,84,1112,117,453,198,50
WBGene00019184,275,147,1298,222,1197,18
WBGene00019185,2412,13233,986,5126,924,183
WBGene00019187,6,2333,112,21,235,198
WBGene00019188,11823,34504,4920,4469,3827,1128
WBGene00019189,53,60,24,32,193,2104
WBGene00019190,15,22,7,20,83,18
WBGene00019192,11,5,3,0,0,0
WBGene00019194,30,6,0,8,43,3
WBGene00019196,2730,7512,1048,3004,1267,1618
WBGene00019197,65,44,33,200,111,65
WBGene00019198,4696,804,329,211,968,29
WBGene00019199,1288,3074,1090,1077,1421,2954
WBGene00019200,9,700,96,477,68,36
WBGene00019202,0,274,11,1744,6,0
WBGene00019203,1979,2864,903,6424,2453,1457
WBGene00019204,674,18928,1086,24742,1636,408
WBGene00019205,7518,113124,9724,21525,6921,1647
WBGene00019207,24336,14508,8677,5964,4975,3087
WBGene00019209,12049,14278,5767,3861,7469,6840
WBGene00019211,2229,38506,6179,29117,3964,1237
WBGene00019212,4509,3551,4119,2037,3628,28
WBGene00019213,13,805,336,22,1453,185
WBGene00019214,2,72,56,1,73,4
WBGene00019215,1,188,256,10,379,100
WBGene00019216,2,65,6,14,612,105
WBGene00019217,5074,18063,3240,6866,2222,3172
WBGene00019218,2583,1807,389,1209,370,1405
WBGene00019219,1553,1804,562,1867,579,415
WBGene00019220,4192,2190,1749,1846,2196,1150
WBGene00019221,926,784,220,357,161,336
WBGene00019222,1,13,3,1,0,0
WBGene00019224,49,2275,263,1824,130,25
WBGene00019225,8,2956,1219,588,1832,521
WBGene00019226,37,230,87,82,55,5
WBGene00019227,4853,4961,729,1751,797,114
WBGene00019228,175,148,48,141,9,1
WBGene00019229,5,102,2,26,111,133
WBGene00019230,81,1150,353,821,75,9
WBGene00019231,6,418,100,170,11,2
WBGene00019232,1193,2464,746,3770,2274,193
WBGene00019233,128,27,60,4153,89,3
WBGene00019234,82,333,1746,3177,901,61
WBGene00019235,20,78,24,87,41,0
WBGene00019236,1302,43,2274,403,1156,35
WBGene00019237,36710,34804,7248,17128,9249,1492
WBGene00019239,74,32,8,188,2,77
WBGene00019240,4687,8806,2138,4047,4805,4214
WBGene00019241,2838,3151,832,2526,905,853
WBGene00019242,1,229,27,30,8,1
WBGene00019243,147,134,49,19,5,69
WBGene00019244,982,4399,214,1084,484,672
WBGene00019245,3947,2013,608,3493,1898,1616
WBGene00019246,7653,13028,1990,2946,3158,3016
WBGene00019247,323,272,89,1288,1951,2588
WBGene00019248,24,107,4,11,45,24
WBGene00019249,31413,205354,16664,27690,11418,3524
WBGene00019250,8289,12860,3063,3885,1976,1838
WBGene00019251,2,169,4,31,0,0
WBGene00019253,118,36,15,20,9,1
WBGene00019254,97,404,49,356,118,291
WBGene00019255,45,156,15,35,161,196
WBGene00019257,1,11,8,50,168,28
WBGene00019259,7775,10694,4072,8666,6330,10200
WBGene00019260,2,19,5,59,51,65
WBGene00019261,961,30015,3347,1677,7847,3000
WBGene00019262,39,18,6,23,6,1
WBGene00019263,491,55284,734,10930,429,375
WBGene00019264,2149,1015,469,2102,951,796
WBGene00019265,13,3270,62,105,10,3
WBGene00019266,285,1265,47,124,20,29
WBGene00019267,4,5,1,0,0,4
WBGene00019268,7603,1202,584,3938,2684,367
WBGene00019269,25,465,22,257,13,2
WBGene00019270,753,915,234,362,582,197
WBGene00019272,44693,674,24302,639,14405,136
WBGene00019273,547,3756,4169,355,6066,484
WBGene00019274,1984,2763,705,1962,586,801
WBGene00019275,3811,16226,908,4566,2140,2238
WBGene00019276,4078,2131,851,1768,1687,644
WBGene00019277,1565,485,213,79,442,93
WBGene00019278,8690,1136,93,145,118,30
WBGene00019279,17569,2101,588,295,749,77
WBGene00019280,14011,2134,1472,685,1268,238
WBGene00019281,6,9,6,5,1,0
WBGene00019282,40164,5121,798,217,762,104
WBGene00019284,1042,39487,408,6582,305,166
WBGene00019285,5214,2762,2822,430,1494,25
WBGene00019286,28,458,76,216,12,4
WBGene00019287,139,1589,75,507,50,19
WBGene00019288,0,8,3,0,1,4
WBGene00019289,259,2899,571,1143,357,111
WBGene00019290,94,3822,283,942,66,9
WBGene00019292,0,2,1,3,0,0
WBGene00019293,0,312,103,1114,37,6
WBGene00019294,4054,14573,1142,3492,753,324
WBGene00019295,2890,5800,1007,3242,2415,2897
WBGene00019296,1241,10361,1382,5841,2477,3092
WBGene00019297,3,119,5,7,0,0
WBGene00019298,9791,89138,6430,14358,9253,3318
WBGene00019299,570,346,44,259,37,1
WBGene00019300,19,5325,665,12087,834,166
WBGene00019301,13160,34906,9610,15347,8210,4224
WBGene00019302,90,101,39,110,34,12
WBGene00019303,147,1113,60,134,33,11
WBGene00019304,154,16878,404,2064,285,240
WBGene00019305,7865,33455,2194,5479,2078,2034
WBGene00019306,326,4,267,34,52,1
WBGene00019309,14,4,2,0,1,0
WBGene00019312,385,58,2,2,3,2
WBGene00019313,963,126,19,9,11,255
WBGene00019314,190,40,44,34,54,13
WBGene00019315,128,96,33,90,68,13
WBGene00019316,217,51,3,12,13,15
WBGene00019317,7512,2016,151,494,429,101
WBGene00019318,28590,376,5452,171,2339,28
WBGene00019319,91,378,53,133,28,8
WBGene00019320,3522,2911,84,194,254,94
WBGene00019321,66,851,122,296,399,51
WBGene00019322,25523,478428,82496,43554,217773,101289
WBGene00019323,14695,17611,4715,9093,7359,7677
WBGene00019324,655,49655,4306,11850,1199,183
WBGene00019326,3012,20569,2092,4000,1655,1389
WBGene00019327,21087,288465,8750,11787,11428,7191
WBGene00019328,189,3322,596,436,339,179
WBGene00019329,5252,5900,290,1655,986,316
WBGene00019331,2,2016,23,1703,7,2
WBGene00019332,6,4179,582,7893,1148,377
WBGene00019333,5544,12689,3062,6404,3950,1849
WBGene00019334,3891,3669,900,2926,1850,1431
WBGene00019335,100,2645,99,324,320,58
WBGene00019337,18,61,14,3,209,228
WBGene00019338,9,64,9,1,3,3
WBGene00019339,0,130,7,58,1,1
WBGene00019340,0,1,4,2,2,2
WBGene00019341,132,16,4,46,210,1151
WBGene00019342,0,84,1,35,1,0
WBGene00019343,94,566,53,56,159,145
WBGene00019344,3805,3969,565,855,878,542
WBGene00019345,1365,952,554,302,1721,266
WBGene00019346,3900,977,533,632,1602,67
WBGene00019347,4156,34907,2431,3463,1007,662
WBGene00019348,2,83,275,27,80,3
WBGene00019349,1,17,2,5,4,0
WBGene00019350,3,43,12,5,24,1
WBGene00019351,6408,20332,2668,13032,5776,3857
WBGene00019352,99,1572,158,423,107,9
WBGene00019353,1080,8044,782,3260,1083,1221
WBGene00019354,3429,31031,1114,8191,1406,2849
WBGene00019355,35,2807,343,3854,382,128
WBGene00019356,0,4,0,0,13,49
WBGene00019357,23467,12207,1268,2667,605,2302
WBGene00019359,3,454,15,4,1,0
WBGene00019360,99,2085,153,594,116,21
WBGene00019361,279,7346,1503,6682,2241,461
WBGene00019362,869,4855,199,636,243,920
WBGene00019364,1180,419,27,90,29,6
WBGene00019365,6730,14069,2394,6653,1461,531
WBGene00019367,36,275,57,117,76,18
WBGene00019368,32,6558,1639,91,3502,1664
WBGene00019369,1,1031,16,6,11,2
WBGene00019370,78,2638,175,507,78,64
WBGene00019372,98,40,24,4,59,7
WBGene00019373,3742,953,527,897,1636,237
WBGene00019376,4,141,11,1012,81,17
WBGene00019380,11280,16936,3219,9233,5633,3142
WBGene00019381,8100,19253,652,20272,755,1331
WBGene00019382,16,125,73,149,132,6
WBGene00019383,3,70,20,12,11,0
WBGene00019384,0,7,2,5,14,0
WBGene00019385,0,30,5,14,1,0
WBGene00019386,1,111,11,21,10,0
WBGene00019387,4,7,4,29,1,0
WBGene00019388,1,241,77,3897,268,25
WBGene00019389,1,196,17,39,9,1
WBGene00019391,11,169,24,173,27,0
WBGene00019392,0,58,13,2,2,1
WBGene00019393,0,108,13,3,12,0
WBGene00019394,863,2491,285,1223,406,86
WBGene00019395,2057,1309,73,518,58,11
WBGene00019396,2831,6901,1706,1629,792,1293
WBGene00019399,8524,13232,1420,7016,2262,2787
WBGene00019400,4558,6861,670,1971,1362,3103
WBGene00019401,19665,29330,9960,16904,22308,9632
WBGene00019402,10271,7218,1103,4115,1499,1479
WBGene00019403,1765,10178,493,1682,743,478
WBGene00019404,361,593,410,154,319,46
WBGene00019405,77,184,10,30,48,17
WBGene00019406,3,8,5,6,642,439
WBGene00019407,6950,3319,451,1128,765,92
WBGene00019408,4124,13195,1545,8275,1275,287
WBGene00019409,0,12,1,1,78,267
WBGene00019410,6,48,8,11,280,539
WBGene00019411,294,2860,644,584,867,298
WBGene00019412,32,6,6,0,0,32
WBGene00019413,124,5,4,0,1,72
WBGene00019414,26,9,4,0,4,44
WBGene00019415,163,272,34,66,14,235
WBGene00019416,1279,17,4,3,0,81
WBGene00019417,34,33,5,1,0,36
